@RELATION /share/usr/briese/Pythonscrips/models/bacello_fungi_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal27 numeric 
@ATTRIBUTE Vacuole_signal9 numeric 
@ATTRIBUTE AutoCorrelatuion|d=3|1-20|charge numeric 
@ATTRIBUTE maxAutoCorrelation|1-110|charge numeric 
@ATTRIBUTE letterCount|1-20|L|aminoacid numeric 
@ATTRIBUTE letterCount|1-180|A|aminoacid numeric 
@ATTRIBUTE maxPaacount|1-70|hydrophob_slightly|1 numeric 
@ATTRIBUTE Paacount|d=4|-100--1|hydrophob_slightly|1 numeric 
@ATTRIBUTE Paacount|d=5|1-20|unpolar|0 numeric 
@ATTRIBUTE maxPaacountNormed|1--1|polar_polar|1 numeric 
@ATTRIBUTE letterCountNormed|1-20|1|charge_negative numeric 
@ATTRIBUTE maxPaacountNormed|1-10|aliphatic_helix_other|2 numeric 
@ATTRIBUTE letterCount|1-50|1|aliphatic_helix_uncharged numeric 
@ATTRIBUTE Paacount|d=4|1--1|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,mTP,nuc,SR} 
 
@DATA 
358,0,0.000439993337153,32.4986515625,36.585390835,1,21,0.339285714286,0.178947368421,0.571428571429,0.10985915493,0.0212765957447,0.375,23,0.125,0,0,1.0,0,0,cyt 
342,0,0.00239028095124,30.494108375,36.4601328155,2,11,0.2,0.147368421053,0.5,0.12389380531,0.0363636363636,0.125,24,0.14880952381,0,0,0,0,0,cyt 
1588,0,1.93149085481e-06,34.43046075,35.6330484466,2,9,0.207547169811,0.2,0.357142857143,0.101577287066,0.00520833333333,0.05,27,0.118836915297,1,0,0,0,0,cyt 
381,0,0.0011532741166,24.7628665,33.4510301237,0,11,0.176470588235,0.136842105263,0.5,0.0740740740741,0.093023255814,0.25,23,0.149333333333,1,0,0,1.0,2,cyt 
503,0,0.0,34.22440025,38.2039610594,0,13,0.161764705882,0.115789473684,0.357142857143,0.104,0.0294117647059,0.0714285714286,26,0.110663983903,0,0,0,0,2,cyt 
417,2,0.0,36.64263,38.9418950291,1,5,0.12,0.0631578947368,0.142857142857,0.195652173913,0.041095890411,0.0714285714286,24,0.138686131387,0,0,0,0,0,cyt 
310,2,0.00100732929541,37.494294,34.8489289032,2,8,0.210526315789,0.0736842105263,0.428571428571,0.182410423453,0.0161290322581,0.125,29,0.190789473684,0,0,0,0,2,cyt 
73,0,0.0,32.00613975,36.8550715652,0,2,0.145454545455,0.0882352941176,0.571428571429,0.114285714286,0.1,0.142857142857,28,0.089552238806,1,0,0,0,2,cyt 
1128,0,0.00293433415512,29.9853515,34.3093627021,4,6,0.179104477612,0.0736842105263,0.571428571429,0.144,0.0152671755725,0.125,21,0.204099821747,1,0,0,0,0,cyt 
410,1,0.0,29.88045375,39.4899337143,1,11,0.25,0.115789473684,0.5,0.235872235872,0.0117647058824,0.25,21,0.227722772277,0,0,0,0,0,cyt 
796,3,3.29669071992e-05,33.48917525,33.5923474314,4,7,0.156862745098,0.126315789474,0.357142857143,0.255989911728,0.0159574468085,0.125,19,0.224050632911,0,0,0,0,0,cyt 
1176,0,0.000328590515915,44.7712570625,41.9625287379,1,19,0.313725490196,0.157894736842,0.571428571429,0.0946291560102,0.0,0.0714285714286,31,0.112820512821,0,0,0,0,0,cyt 
249,0,0.00544843909058,28.6765405625,36.21202579,0,13,0.166666666667,0.115789473684,0.428571428571,0.138211382114,0.1,0.125,26,0.168724279835,1,0,1.0,0,2,cyt 
506,0,0.000259803383725,27.63003,37.0695588022,1,9,0.0769230769231,0.0526315789474,0.285714285714,0.204771371769,0.0679611650485,0.0714285714286,15,0.19,0,0,0,0,0,cyt 
578,0,0.00100013134368,36.881818375,37.2080062913,0,10,0.1875,0.231578947368,0.357142857143,0.106086956522,0.0307692307692,0.0714285714286,24,0.181818181818,0,0,0,0,0,cyt 
233,0,0.0,26.9861275,28.0276651789,1,14,0.08,0.0736842105263,0.0714285714286,0.304347826087,0.0769230769231,0.25,17,0.242290748899,1,0,0,0,2,cyt 
1653,0,0.0,26.48562925,35.3411839111,4,9,0.175438596491,0.105263157895,0.5,0.130303030303,0.0175438596491,0.142857142857,26,0.128718882817,0,0,0,0,0,cyt 
2280,0,0.00780140282899,34.8955451875,41.9490261275,1,21,0.315789473684,0.0842105263158,0.714285714286,0.122090469917,0.0,0.5,25,0.122251539138,1,0,0,0,0,cyt 
143,0,0.0014039879687,30.316107625,35.9043634624,2,11,0.148148148148,0.157894736842,0.357142857143,0.0928571428571,0.130434782609,0.0555555555556,27,0.102189781022,1,0,0,0,2,cyt 
219,0,0.0,33.476237875,34.49498464,0,14,0.261538461538,0.242105263158,0.357142857143,0.101851851852,0.0769230769231,0.111111111111,25,0.169014084507,1,0,0,0,0,cyt 
632,0,7.77329644032e-05,35.7083115,33.4621541524,3,14,0.280701754386,0.126315789474,0.571428571429,0.0794912559618,0.0425531914894,0.0555555555556,21,0.182108626198,0,0,1.0,0,7,cyt 
885,0,9.97340549661e-05,44.479475125,39.6880459808,2,7,0.222222222222,0.178947368421,0.428571428571,0.12925170068,0.0,0.111111111111,31,0.168373151308,1,0,0,0,0,cyt 
393,0,0.0,33.782776125,35.5316818972,1,17,0.274509803922,0.178947368421,0.214285714286,0.107692307692,0.093023255814,0.375,24,0.116279069767,0,0,0,0,0,cyt 
608,0,0.00280743243844,35.7130355,37.8542886214,4,18,0.209677419355,0.189473684211,0.428571428571,0.122314049587,0.0229885057471,0.142857142857,21,0.104651162791,0,0,0,0,2,cyt 
578,0,8.439381468e-05,43.1353545,37.8942306111,5,5,0.11320754717,0.136842105263,0.5,0.12,0.0,0.05,32,0.122377622378,0,0,0,0,0,cyt 
362,0,0.0,42.23262125,39.49728577,2,12,0.14,0.115789473684,0.285714285714,0.0974930362117,0.0425531914894,0.214285714286,22,0.106741573034,1,0,0,0,2,cyt 
420,0,0.0392091917937,25.5205525,32.4206706,1,10,0.127272727273,0.189473684211,0.142857142857,0.223021582734,0.0555555555556,0.625,18,0.246376811594,0,0,0,0,0,cyt 
228,0,0.0,42.36303875,37.6071865192,0,12,0.230769230769,0.157894736842,0.5,0.137777777778,0.0,0.25,28,0.135135135135,0,0,0,0,0,cyt 
4367,0,0.000487541673449,30.39347275,34.7900679677,0,14,0.254237288136,0.0736842105263,0.5,0.127635197067,0.00337837837838,0.625,25,0.128869525338,0,0,0,0,0,cyt 
94,0,0.0119889318825,35.2166585,36.5545890588,1,7,0.137931034483,0.134831460674,0.142857142857,0.175824175824,0.3125,0.125,19,0.147727272727,1,0,0,0,2,cyt 
1300,0,0.000119640170737,33.210392625,36.7754037292,2,11,0.25,0.126315789474,0.357142857143,0.160370084811,0.0135746606335,0.0714285714286,30,0.159196290572,1,0,0,0,2,cyt 
1442,3,7.04272317438e-06,31.555994,34.8910367857,5,12,0.269230769231,0.126315789474,0.571428571429,0.1382904795,0.00512820512821,0.125,25,0.132311977716,0,0,0,0,1,cyt 
1117,2,0.0,38.58225625,42.0290953148,1,9,0.28,0.189473684211,0.428571428571,0.135547576302,0.00751879699248,0.0714285714286,16,0.205220522052,0,0,0,0,0,cyt 
599,1,0.0,31.81147975,37.0978859406,0,6,0.176470588235,0.0736842105263,0.5,0.124161073826,0.0327868852459,0.142857142857,26,0.155143338954,1,0,0,0,0,cyt 
1274,0,0.0494394449952,34.06162975,33.3188378286,3,9,0.28,0.0526315789474,0.428571428571,0.121951219512,0.00884955752212,0.375,18,0.205047318612,0,0,0,0,0,cyt 
1121,0,0.0,32.1674168125,34.3105194851,0,5,0.10447761194,0.0736842105263,0.285714285714,0.190518783542,0.0230769230769,0.125,20,0.15067264574,0,0,0,0,8,cyt 
370,0,0.00338147866482,39.749439125,39.6403205408,0,11,0.265625,0.157894736842,0.357142857143,0.128065395095,0.0,0.111111111111,25,0.126373626374,1,0,0,0,2,cyt 
463,0,0.00734343980261,34.75220325,38.6628335192,0,14,0.169230769231,0.126315789474,0.285714285714,0.102173913043,0.037037037037,0.142857142857,27,0.0722100656455,0,0,1.0,0,2,cyt 
842,0,0.0,35.217182375,37.2258245288,1,15,0.176470588235,0.126315789474,0.285714285714,0.121573301549,0.0178571428571,0.125,28,0.11004784689,0,0,0,0,0,cyt 
500,0,0.0,28.37464675,33.7431444505,2,9,0.160714285714,0.168421052632,0.285714285714,0.112676056338,0.0757575757576,0.125,27,0.119433198381,0,0,1.0,0,2,cyt 
436,0,0.000415741886582,37.36653025,37.2832056796,0,24,0.230769230769,0.147368421053,0.285714285714,0.101616628176,0.0350877192982,0.0555555555556,26,0.116279069767,1,0,0,1.0,2,cyt 
437,0,0.00365893412446,36.61796325,39.077187956,1,4,0.173076923077,0.115789473684,0.142857142857,0.138248847926,0.0555555555556,0.214285714286,25,0.109048723898,0,0,0,0,2,cyt 
451,0,0.0,37.262859125,38.3898329677,4,13,0.225806451613,0.105263157895,0.642857142857,0.120535714286,0.0161290322581,0.0714285714286,32,0.157303370787,1,0,0,0,0,cyt 
1932,1,0.00206608219331,29.3058,38.0839707379,0,4,0.264705882353,0.0947368421053,0.642857142857,0.130637636081,0.0121457489879,0.142857142857,23,0.164589823468,1,0,1.0,0,2,cyt 
306,0,0.000309940048749,28.518179125,34.8672485333,2,10,0.181818181818,0.147368421053,0.357142857143,0.102310231023,0.05,0.05,26,0.143333333333,0,0,0,0,2,cyt 
124,0,3.51350067092e-05,24.1463705,38.2590576087,1,4,0.194029850746,0.178947368421,0.214285714286,0.0661157024793,0.357142857143,0.25,22,0.0593220338983,0,0,1.0,1.0,0,cyt 
865,0,3.49453819014e-05,38.19569675,36.435710972,4,21,0.314814814815,0.168421052632,0.285714285714,0.106728538283,0.00952380952381,0.125,26,0.132712456345,0,0,0,0,0,cyt 
352,0,0.0229608443317,42.59249,35.1266822056,2,14,0.188679245283,0.0421052631579,0.214285714286,0.151862464183,0.0535714285714,0.125,25,0.109826589595,1,0,1.0,0,2,cyt 
223,0,3.40007570257e-05,33.0591955,33.3208767835,3,14,0.241935483871,0.136842105263,0.5,0.0727272727273,0.0384615384615,0.05,28,0.152073732719,0,0,0,0,0,cyt 
1372,0,0.0,45.841272375,38.2848879238,0,6,0.183333333333,0.0631578947368,0.5,0.149013878744,0.00558659217877,0,23,0.145680819912,1,0,0,0,2,cyt 
338,0,0.0,45.033295625,36.8582929604,1,17,0.115384615385,0.0736842105263,0.428571428571,0.089552238806,0.0,0,31,0.0722891566265,1,0,1.0,1.0,0,cyt 
555,0,0.0,31.67785725,37.2681278,2,13,0.142857142857,0.273684210526,0.428571428571,0.110507246377,0.031746031746,0.125,21,0.131147540984,1,0,0,0,2,cyt 
202,0,0.0,22.28586875,35.7508221429,0,11,0.123076923077,0.178947368421,0.0714285714286,0.170854271357,0.2,0.375,18,0.158163265306,0,0,0,0,2,cyt 
428,1,0.00105650378644,31.909959,38.1001396277,3,16,0.328125,0.126315789474,0.714285714286,0.129411764706,0.02,0.375,22,0.161137440758,1,0,0,0,0,cyt 
153,0,0.000221285009601,33.049806375,38.1898249556,1,5,0.145161290323,0.147368421053,0.285714285714,0.126666666667,0.166666666667,0,26,0.176870748299,0,0,0,0,0,cyt 
774,0,0.000819221495406,29.46851675,36.4014220659,1,4,0.140350877193,0.178947368421,0.0714285714286,0.176394293126,0.0347826086957,0.05,26,0.265625,0,0,0,0,0,cyt 
372,0,0.0253378693295,32.1317725,35.5370918444,3,13,0.190476190476,0.178947368421,0.142857142857,0.135501355014,0.0612244897959,0.25,25,0.112021857923,0,0,1.0,0,0,cyt 
108,0,0.00277568001105,33.891403125,35.4451411238,1,7,0.160714285714,0.0947368421053,0.285714285714,0.114285714286,0.2,0.125,29,0.156862745098,1,0,1.0,0,2,cyt 
385,0,0.000938301901679,32.53438675,40.0177560463,0,14,0.26,0.0947368421053,0.5,0.123036649215,0.0185185185185,0.125,28,0.089709762533,1,0,1.0,0,2,cyt 
250,0,7.44089153543e-06,36.114260625,36.1833217383,4,19,0.230769230769,0.126315789474,0.571428571429,0.121457489879,0.0540540540541,0.0714285714286,30,0.0901639344262,0,0,0,0,2,cyt 
163,0,0.0,36.709357875,35.8500884646,1,4,0.16,0.126315789474,0.285714285714,0.1375,0.130434782609,0.0555555555556,26,0.108280254777,1,0,1.0,1.0,0,cyt 
168,0,0.0,35.35596225,34.8525873396,3,4,0.111111111111,0.210526315789,0.142857142857,0.327272727273,0.129032258065,0.0714285714286,11,0.320987654321,0,0,0,0,0,cyt 
242,0,0.00013919744211,45.6971925,36.6853596509,3,13,0.191176470588,0.147368421053,0.285714285714,0.112970711297,0.0294117647059,0.25,25,0.122881355932,1,0,0,0,2,cyt 
294,0,0.0,32.82088775,32.3261143736,4,3,0.153846153846,0.126315789474,0.5,0.158075601375,0.09375,0.125,25,0.166666666667,0,0,0,0,0,cyt 
328,2,0.00101681795584,35.931270625,37.18595028,2,12,0.193548387097,0.168421052632,0.142857142857,0.153846153846,0.0444444444444,0.375,22,0.111801242236,0,0,1.0,0,0,cyt 
759,1,0.0,38.22539375,37.2661501782,2,4,0.269841269841,0.115789473684,0.142857142857,0.21164021164,0.0215053763441,0.125,11,0.260292164675,0,0,0,0,2,cyt 
384,0,0.0,41.5507485,38.262681,0,14,0.132352941176,0.115789473684,0.285714285714,0.128608923885,0.0196078431373,0.05,21,0.121693121693,0,0,0,0,2,cyt 
227,0,0.0206357104293,26.92655,35.1025613516,2,10,0.0588235294118,0.115789473684,0.0714285714286,0.1875,0.189189189189,0.375,20,0.113122171946,0,0,0,0,0,cyt 
501,0,0.00163734640248,35.880621875,35.7585306989,3,14,0.126984126984,0.168421052632,0.5,0.132530120482,0.0263157894737,0.25,22,0.165656565657,0,1,0,0,0,cyt 
918,0,0.00318351554744,30.376332625,33.6920014898,4,9,0.147540983607,0.115789473684,0.428571428571,0.130054644809,0.0148148148148,0.125,25,0.164473684211,0,0,0,0,2,cyt 
670,0,0.0,35.6123405625,36.2287330392,1,15,0.178571428571,0.221052631579,0.428571428571,0.15892053973,0.0113636363636,0.214285714286,20,0.19578313253,1,0,0,0,0,cyt 
536,0,0.000140933107904,36.5776185,37.2773444808,1,11,0.186440677966,0.0947368421053,0.428571428571,0.146341463415,0.0454545454545,0.25,27,0.124528301887,0,0,0,0,2,cyt 
74,0,0.0,35.495164625,37.4914329831,1,2,0.150943396226,0.101449275362,0.285714285714,0.225352112676,0.142857142857,0,26,0.176470588235,0,0,0,0,0,cyt 
335,0,0.00275903258244,36.9529688125,40.1507210889,1,16,0.205882352941,0.126315789474,0.5,0.126506024096,0.025641025641,0.125,28,0.100303951368,0,0,0,0,2,cyt 
582,0,0.00743269396712,39.8576905,38.0349054457,0,10,0.22641509434,0.0631578947368,0.5,0.146804835924,0.0126582278481,0.25,16,0.177083333333,0,0,0,0,2,cyt 
443,0,0.0,35.7579515,33.657029566,2,20,0.263157894737,0.0842105263158,0.642857142857,0.115909090909,0.0192307692308,0.0714285714286,29,0.135011441648,1,0,0,0,0,cyt 
891,1,0.00034096091106,33.78623925,40.29252996,1,18,0.326923076923,0.263157894737,0.357142857143,0.109234234234,0.0253164556962,0.125,20,0.157062146893,0,0,1.0,0,2,cyt 
781,0,0.0,32.09627775,40.2943882549,0,9,0.3,0.0842105263158,0.357142857143,0.114395886889,0.0555555555556,0.125,16,0.203870967742,0,0,0,0,0,cyt 
554,0,1.46336603994e-05,36.72415325,33.3645322804,2,2,0.205882352941,0.105263157895,0.214285714286,0.156079854809,0.0289855072464,0,25,0.173357664234,1,0,1.0,0,2,cyt 
560,0,0.0,30.26260975,35.3080597222,3,6,0.0597014925373,0.126315789474,0.357142857143,0.120287253142,0.0816326530612,0.05,21,0.180505415162,0,0,0,0,0,cyt 
1017,0,0.005406351163,35.2595385,39.8704158947,1,6,0.181818181818,0.0842105263158,0.5,0.134122287968,0.0,0.25,25,0.132542037587,1,0,0,0,2,cyt 
308,0,0.00054858592211,30.912040375,35.9712956667,4,14,0.089552238806,0.178947368421,0.357142857143,0.160655737705,0.0444444444444,0.25,27,0.162251655629,1,0,0,0,2,cyt 
428,0,0.0,35.014256375,36.691924625,2,14,0.25,0.126315789474,0.357142857143,0.141176470588,0.031746031746,0,25,0.161137440758,1,0,0,0,2,cyt 
1127,0,0.0,38.02494425,35.2643021346,4,6,0.11320754717,0.126315789474,0.714285714286,0.154804270463,0.0,0.125,35,0.156110615522,1,0,0,0,0,cyt 
443,0,0.0,30.169910625,35.8898970659,1,18,0.28813559322,0.105263157895,0.357142857143,0.106818181818,0.0612244897959,0.142857142857,24,0.12585812357,0,0,0,0,0,cyt 
416,0,0.0,35.682210875,34.7327550566,2,13,0.235294117647,0.126315789474,0.857142857143,0.0799031476998,0.0,0.125,32,0.114634146341,0,0,1.0,1.0,0,cyt 
1398,0,0.000428703297786,40.271344,38.9779333636,2,11,0.254237288136,0.231578947368,0.142857142857,0.162007168459,0.0223463687151,0.142857142857,18,0.190373563218,0,0,0,0,0,cyt 
1313,0,0.00190242573283,42.30824475,35.7134833889,1,12,0.28813559322,0.157894736842,0.357142857143,0.112977099237,0.0137931034483,0.125,23,0.16220351951,0,0,1.0,0,2,cyt 
452,0,0.00275889127143,32.89359,35.6707676264,0,11,0.269841269841,0.284210526316,0.357142857143,0.106904231626,0.0263157894737,0.5,17,0.27130044843,0,0,0,0,0,cyt 
184,0,0.00392711791818,37.8475280625,35.9031421287,1,19,0.288461538462,0.168421052632,0.428571428571,0.127071823204,0.04,0.375,22,0.207865168539,0,0,0,0,2,cyt 
533,3,8.51688756298e-05,35.049697625,34.6100514545,3,10,0.367647058824,0.357894736842,0.714285714286,0.0943396226415,0.0222222222222,0.375,21,0.187855787476,0,0,0,0,8,cyt 
941,0,0.0,40.87407775,41.1359636075,1,5,0.222222222222,0.115789473684,0.571428571429,0.132196162047,0.0,0,23,0.133689839572,0,0,1.0,0,8,cyt 
320,0,7.09514326674e-05,37.62875725,34.0187727685,1,10,0.203125,0.0842105263158,0.428571428571,0.148264984227,0.047619047619,0,26,0.111464968153,0,0,0,0,0,cyt 
1217,0,0.000375885990374,45.2101473125,39.9550787383,1,15,0.212121212121,0.210526315789,0.357142857143,0.137561779242,0.0,0,28,0.134599504542,1,0,1.0,0,2,cyt 
1471,0,0.000655763452936,32.04694325,36.1383199032,1,13,0.172413793103,0.136842105263,0.428571428571,0.135558583106,0.00719424460432,0.0714285714286,27,0.142662116041,1,0,1.0,0,2,cyt 
652,1,0.00175661173151,34.826393375,34.0792331456,2,12,0.179104477612,0.168421052632,0.428571428571,0.0924499229584,0.0263157894737,0.375,28,0.174922600619,0,0,1.0,0,2,cyt 
853,1,0.0108536014879,48.5202784375,39.1342917767,1,21,0.125,0.0736842105263,0.285714285714,0.177647058824,0.00833333333333,0.0714285714286,21,0.136953955136,0,0,0,0,0,cyt 
153,0,0.0,36.90283425,40.8737597938,0,9,0.137931034483,0.178947368421,0.357142857143,0.12,0.0952380952381,0.125,25,0.12925170068,0,0,1.0,0,0,cyt 
1049,0,0.00114576015711,36.858674,38.9997572,3,10,0.129032258065,0.147368421053,0.0714285714286,0.152007648184,0.025,0.25,18,0.17929050815,0,0,0,0,0,cyt 
598,10,6.38023436834e-05,28.874440875,34.4538330094,2,22,0.19696969697,0.189473684211,0.5,0.149579831933,0.0340909090909,0.375,20,0.130067567568,1,0,0,0,2,cyt 
125,0,0.0,29.79996125,33.6889683564,2,5,0.117647058824,0.115789473684,0.357142857143,0.131147540984,0.0625,0.0714285714286,25,0.193277310924,1,0,0,0,0,cyt 
198,0,0.0304030451423,28.31983925,36.6252463441,1,13,0.176470588235,0.115789473684,0.285714285714,0.169230769231,0.162162162162,0.625,21,0.166666666667,0,0,0,0,2,cyt 
242,0,0.0,42.232366125,40.7762300667,2,16,0.351851851852,0.115789473684,0.571428571429,0.0753138075314,0.0,0.05,30,0.0889830508475,0,0,1.0,0,0,cyt 
1480,1,0.00145552522847,30.6987575,33.6478455556,0,7,0.208955223881,0.368421052632,0.142857142857,0.150304671632,0.0,0.375,13,0.215739484396,1,0,0,0,2,cyt 
796,0,0.0,30.106733,31.7365842404,2,18,0.225806451613,0.0421052631579,0.285714285714,0.139974779319,0.0470588235294,0.25,23,0.175949367089,0,0,0,0,0,cyt 
570,0,3.20957436332e-06,34.28526625,37.4203622981,2,12,0.216666666667,0.136842105263,0.428571428571,0.118165784832,0.0289855072464,0.125,24,0.0921985815603,1,0,0,0,0,cyt 
664,0,0.000308208619937,29.6661771875,38.6118610208,2,11,0.166666666667,0.189473684211,0.714285714286,0.113464447806,0.020618556701,0.25,27,0.132218844985,0,0,0,0,0,cyt 
230,0,0.000305810028184,33.544154125,32.1859838598,2,5,0.117647058824,0.0842105263158,0.214285714286,0.198237885463,0.111111111111,0.0555555555556,16,0.21875,0,0,0,0,0,cyt 
286,0,0.0,22.77135,33.2034083846,0,13,0.125,0.0736842105263,0.214285714286,0.219081272085,0.0923076923077,0.25,20,0.192857142857,0,0,0,0,0,cyt 
311,0,0.000878497468254,37.08611825,36.2931074063,3,5,0.160714285714,0.0631578947368,0.571428571429,0.178571428571,0.0,0.25,25,0.170491803279,0,0,1.0,0,2,cyt 
254,0,0.0,32.5851553125,35.3601162079,2,10,0.12962962963,0.126315789474,0.285714285714,0.155378486056,0.0952380952381,0.05,29,0.116935483871,0,0,0,0,2,cyt 
662,0,0.0,38.454905,38.5880629167,2,5,0.126984126984,0.0526315789474,0.5,0.128983308042,0.025,0.25,19,0.121951219512,0,0,0,0,0,cyt 
161,0,5.18195791327e-05,36.134034625,37.8206126214,1,5,0.1875,0.0526315789474,0.571428571429,0.164556962025,0.0434782608696,0.0714285714286,25,0.116129032258,0,0,0,0,0,cyt 
428,0,0.00964759905704,34.5429505,41.9160406593,1,12,0.166666666667,0.115789473684,0.5,0.124705882353,0.0363636363636,0.25,24,0.101895734597,1,0,0,0,2,cyt 
712,0,0.0,35.00504425,34.2447902547,5,7,0.277777777778,0.189473684211,0.714285714286,0.138222849083,0.0,0,27,0.152974504249,0,0,1.0,0,2,cyt 
214,0,0.0,31.963940625,32.8188780849,2,20,0.285714285714,0.189473684211,0.5,0.113744075829,0.0357142857143,0.05,33,0.153846153846,0,0,1.0,0,0,cyt 
335,0,2.66353275293e-05,36.548909375,39.5807772897,2,9,0.107692307692,0.136842105263,0.142857142857,0.129518072289,0.0512820512821,0.05,25,0.142857142857,0,0,1.0,0,0,cyt 
750,0,0.00112575612893,42.673345625,39.34721978,0,5,0.178571428571,0.157894736842,0.0,0.144578313253,0.0277777777778,0.125,21,0.176075268817,0,0,0,0,0,cyt 
1358,0,1.13243324135e-05,37.119976625,34.2218648519,3,11,0.18,0.157894736842,0.428571428571,0.112177121771,0.0120481927711,0.0714285714286,26,0.130917159763,0,0,0,0,2,cyt 
1189,2,3.69541638165e-05,33.91649725,37.9376002524,4,18,0.189655172414,0.147368421053,0.142857142857,0.107082630691,0.0266666666667,0.25,27,0.0989010989011,0,0,1.0,0,0,cyt 
550,0,0.0,34.147439875,38.6214482418,0,14,0.274193548387,0.136842105263,0.714285714286,0.0987202925046,0.0,0.25,26,0.15625,0,0,1.0,0,0,cyt 
711,0,0.0,30.82546625,38.6246984815,4,10,0.176470588235,0.0947368421053,0.142857142857,0.0946327683616,0.0597014925373,0.125,22,0.185815602837,1,0,1.0,0,0,cyt 
303,0,0.0,32.05593175,37.5156534778,2,6,0.126984126984,0.126315789474,0.571428571429,0.0933333333333,0.0588235294118,0.142857142857,26,0.124579124579,0,0,1.0,0,0,cyt 
314,0,0.0,31.5466925,34.3122958947,2,12,0.3,0.115789473684,0.357142857143,0.0996784565916,0.0263157894737,0,30,0.103896103896,0,0,0,0,0,cyt 
777,0,0.0,35.02456025,35.7226488041,0,9,0.106060606061,0.2,0.5,0.140826873385,0.00952380952381,0.25,24,0.193255512322,1,0,0,0,0,cyt 
484,2,0.0,30.833923,38.2359035824,2,12,0.166666666667,0.0315789473684,0.357142857143,0.199584199584,0.0449438202247,0.25,17,0.169456066946,0,0,0,0,0,cyt 
430,0,0.0931626387627,31.07334875,40.8789150444,2,10,0.3,0.0526315789474,0.214285714286,0.173302107728,0.0714285714286,0.875,16,0.176886792453,0,0,0,0,0,cyt 
421,3,0.0,26.450813125,41.2982400417,2,4,0.1,0.136842105263,0.357142857143,0.165071770335,0.0892857142857,0.125,20,0.146987951807,1,0,0,0,0,cyt 
