@RELATION /share/usr/briese/Pythonscrips/models/multiloc_plants_dbm_p+p_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Peroxi_signal1 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal12 numeric 
@ATTRIBUTE Chloro_signal2 numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1-20|hydrophob numeric 
@ATTRIBUTE property_sum|1-10|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-50|charge numeric 
@ATTRIBUTE letterCount|1-50|S|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|1-80|leucine|L numeric 
@ATTRIBUTE maxPaacount|1-120|cysteine|C numeric 
@ATTRIBUTE maxPaacount|1-120|lysine|K numeric 
@ATTRIBUTE letterCount|1-120|F|aminoacid numeric 
@ATTRIBUTE letterCount|1-120|W|aminoacid numeric 
@ATTRIBUTE Paacount|d=2|1-100|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacountNormed|-40--1|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacount|1-30|charge_negative|1 numeric 
@ATTRIBUTE Paacount|d=3|1-20|structure_helix|1 numeric 
@ATTRIBUTE minPaacount|1--1|structure_helix|1 numeric 
@ATTRIBUTE letterCount|1-20|2|size_large numeric 
@ATTRIBUTE maxPaacount|1--1|hydroxylated_hydroxy|1 numeric 
@ATTRIBUTE Paacount|d=2|1--1|aliphatic_helix_uncharged|1 numeric 
@ATTRIBUTE prosite_clust_SR numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mTP numeric 
@ATTRIBUTE prosite_clust_cTP numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE response {cyt,cTP,ER,ex,gol,mTP,nuc,per,mem,vac,cyt_nuc,ex_mem,cyt_mem,cyt_mTP,nuc_mTP,ER_ex,ex_nuc} 
 
@DATA 
561,90,0.0,5.673,5.833,-1.669,0,0.164643388889,53.988,41.8900367209,4,0.00333333333333,0,0.01,7,1,0.113402061856,0.0277777777778,0.0769230769231,0.25,0.0131578947368,6,0.137037037037,0.269299820467,0,0,0,0,0,0,cyt 
913,45,0.0,3.137,3.493,-2.197,0,0.232623111111,55.983,28.5852655814,8,0.0128205128205,0,0,3,1,0.0515463917526,0.131578947368,0.0588235294118,0.25,0.0106207222091,10,0.137583892617,0.193619361936,0,0,0,0,0,0,cyt 
504,27,0.0,5.962,2.882,-1.156,0,0.262367666667,65.395,39.4606926047,3,0.0128205128205,0,0.0172413793103,3,1,0.0618556701031,0.0277777777778,0.04,0.375,0.011986487959,11,0.136820925553,0.26,0,0,0,0,0,0,cyt 
911,36,0.0,6.281,3.529,-3.319,0,0.206906722222,51.633,30.6214516744,2,0.025641025641,0,0.0194174757282,3,3,0.0618556701031,0.0263157894737,0,0.125,0.0118273211118,6,0.0840707964602,0.209481808159,0,0,0,0,0,1,cyt 
412,18,0.0,5.89,3.159,-2.458,0,0.379139444444,51.681,36.4280724186,1,0.00649350649351,0,0.00943396226415,5,1,0.103092783505,0.037037037037,0.1,0.0625,0.0138888888889,8,0.101736972705,0.272058823529,0,0,0,0,0,0,cyt 
396,0,0.0,6.391,3.127,-2.246,1,0.382951833333,52.036,38.3609778372,0,0.025641025641,0.00892857142857,0.00877192982456,7,0,0.0515463917526,0.184210526316,0,0.125,0.0119298245614,7,0.176165803109,0.214285714286,0,0,0,0,0,0,cyt 
1130,27,0.0,5.796,4.685,-1.185,0,0.281944166667,53.788,34.7180143488,9,0.0128205128205,0.00990099009901,0.0172413793103,3,3,0.0824742268041,0.0789473684211,0.0357142857143,0.1875,0.0114849793555,10,0.139659803044,0.217584369449,0,1,0,0,0,1,cyt 
1182,18,0.0,6.466,4.685,-4.51,0,0.180359111111,55.336,43.8357225116,3,0,0,0,6,1,0.0309278350515,0.105263157895,0,0.125,0.0109252459314,9,0.129770992366,0.237691001698,0,1,0,0,0,1,cyt 
74,18,0.0,6.297,2.177,-1.428,0,0.381494388889,48.03,35.5166227442,2,0.0138888888889,0,0.0144927536232,2,1,0.0985915492958,0.105263157895,0.1,0.25,0.0198609731877,9,0.145454545455,0.371428571429,0,1,0,0,0,0,cyt 
1101,18,0.0,5.446,3.444,-1.762,0,0.314587833333,53.452,37.8466757209,3,0.0384615384615,0,0.029702970297,6,3,0.0721649484536,0.0526315789474,0.0416666666667,0.25,0.0123294346979,12,0.0867579908676,0.323609845032,0,0,0,0,0,0,cyt 
670,27,0.0,5.176,4.814,-2.475,0,0.261822944444,51.585,32.1544198605,6,0,0,0.00990099009901,6,4,0.0412371134021,0.0789473684211,0.0769230769231,0.0,0.0110291136161,8,0.0935582822086,0.298798798799,0,0,0,0,0,0,cyt 
701,18,0.0,6.596,5.298,-2.387,0,0.0881784444444,57.764,40.7311105814,8,0.00228310502283,0,0.019801980198,5,4,0.0412371134021,0.105263157895,0.125,0.0625,0.0103605808452,9,0.0937950937951,0.309899569584,0,0,0,0,0,0,cyt 
377,9,0.0,5.643,3.823,-1.922,0,0.232405111111,40.705,35.5912269767,3,0.00649350649351,0.00892857142857,0.00990099009901,3,2,0.0515463917526,0.157894736842,0.142857142857,0.1875,0.0106445890006,6,0.0886426592798,0.300268096515,0,0,0,0,0,1,cyt 
408,18,0.0,6.155,2.941,-2.398,0,0.227723111111,50.034,38.2898159767,2,0.0128205128205,0,0.00961538461538,6,2,0.103092783505,0.131578947368,0.0714285714286,0.0625,0.0116959064327,11,0.107692307692,0.272277227723,0,0,0,0,0,0,cyt 
374,18,0.0,6.843,3.456,-1.301,0,0.260788555556,63.281,37.5249406977,2,0.0128205128205,0.0172413793103,0.0190476190476,2,1,0.134020618557,0.0789473684211,0.0555555555556,0.125,0.0116296406739,10,0.0690607734807,0.375675675676,0,0,0,0,0,1,cyt 
375,18,0.0,6.104,4.016,-1.322,0,0.274381,63.281,37.8041646512,2,0.00666666666667,0.0172413793103,0.0185185185185,2,1,0.134020618557,0.157894736842,0.0555555555556,0.25,0.0111507582516,9,0.0708446866485,0.350404312668,0,0,0,0,0,1,cyt 
375,18,0.0,5.051,4.158,-2.008,0,0.310023222222,63.281,38.963201814,2,0.0015873015873,0.0175438596491,0.0190476190476,3,1,0.113402061856,0.0789473684211,0.0384615384615,0.125,0.0109546165884,7,0.0702247191011,0.353099730458,0,0,0,0,0,1,cyt 
375,18,0.0,5.175,4.457,-0.976,0,0.317439777778,60.781,39.4785491163,1,0.0027027027027,0.0172413793103,0.0350877192982,1,1,0.123711340206,0.157894736842,0.0384615384615,0.25,0.0114241001565,7,0.0512129380054,0.371967654987,0,0,0,0,0,1,cyt 
379,18,0.0,6.104,3.187,-1.671,0,0.266599277778,60.254,35.6241309535,2,0,0.0172413793103,0.03,4,1,0.103092783505,0.105263157895,0.0625,0.25,0.0108791531902,9,0.0586666666667,0.338666666667,0,0,0,0,0,1,cyt 
368,36,0.0,5.298,4.615,-1.413,0,0.316532222222,56.494,38.9580509767,2,0.0128205128205,0.0172413793103,0.0196078431373,4,1,0.103092783505,0.0789473684211,0.0384615384615,0.1875,0.0119824055817,8,0.0666666666667,0.387362637363,0,0,0,0,0,1,cyt 
374,9,0.0,4.84,3.855,-2.285,0,0.291629111111,59.875,37.9337970233,1,0,0.0172413793103,0.0175438596491,3,1,0.103092783505,0.105263157895,0.0555555555556,0.1875,0.0105147520402,10,0.0710382513661,0.362162162162,0,0,0,0,0,1,cyt 
374,18,0.0,5.227,3.986,-1.206,0,0.266636388889,64.571,37.4465684186,2,0.00333333333333,0.0172413793103,0.0192307692308,2,1,0.0824742268041,0.105263157895,0.0555555555556,0.25,0.0111424984306,9,0.0647887323944,0.348648648649,0,0,0,0,0,1,cyt 
374,18,0.0,5.732,4.248,-1.301,0,0.300443611111,63.281,36.9999113953,1,0.00438596491228,0.0172413793103,0.0285714285714,1,1,0.134020618557,0.131578947368,0.0555555555556,0.25,0.0114563716259,10,0.0747922437673,0.356756756757,0,0,0,0,0,1,cyt 
375,18,0.0,6.104,3.187,-1.554,0,0.285077722222,63.281,38.8031263256,3,0.00333333333333,0.0172413793103,0.0190476190476,4,1,0.134020618557,0.131578947368,0.0555555555556,0.125,0.0123401724651,8,0.0798898071625,0.350404312668,0,0,0,0,0,1,cyt 
391,27,0.0,6.104,3.187,-1.551,0,0.273279277778,66.644,36.0644914186,1,0.00104166666667,0.0172413793103,0.0263157894737,3,1,0.103092783505,0.131578947368,0.0555555555556,0.25,0.0123755334282,9,0.0664893617021,0.366925064599,0,0,0,0,0,1,cyt 
378,18,0.0,6.104,3.173,-1.551,0,0.273279277778,66.644,36.6243655581,2,0.00333333333333,0.0172413793103,0.034188034188,5,1,0.103092783505,0.105263157895,0.0555555555556,0.25,0.0128261831048,9,0.0555555555556,0.355614973262,0,0,0,0,0,1,cyt 
373,18,0.0,5.932,4.376,-1.442,0,0.294505277778,56.704,35.4914053023,1,0.0011655011655,0.0172413793103,0.02,2,1,0.103092783505,0.0789473684211,0.111111111111,0.25,0.0112141148325,8,0.056657223796,0.373983739837,0,0,0,0,0,1,cyt 
376,27,0.0,5.814,3.721,-1.962,0,0.224189944444,54.604,36.5972696512,1,0.00649350649351,0.0172413793103,0.0176991150442,3,1,0.103092783505,0.131578947368,0.0625,0.1875,0.0120088954781,10,0.0754716981132,0.370967741935,0,0,0,0,0,1,cyt 
378,27,0.0,5.932,4.383,-1.426,0,0.296256388889,57.089,37.2587055116,3,0.00124378109453,0.0172413793103,0.0190476190476,2,1,0.103092783505,0.131578947368,0.0555555555556,0.3125,0.0135009310987,9,0.0546448087432,0.366310160428,0,0,0,0,0,1,cyt 
375,36,0.0,5.934,3.427,-1.322,0,0.267053222222,63.176,35.0430440698,0,0.00438596491228,0.0172413793103,0.017094017094,5,2,0.113402061856,0.105263157895,0.0740740740741,0.25,0.0125195618153,7,0.0555555555556,0.350404312668,0,0,0,0,0,1,cyt 
1338,0,0.0,6.32,3.824,-1.373,0,0.286626166667,52.223,39.7932452558,1,0.025641025641,0.0263157894737,0.01,2,0,0.0927835051546,0.0675675675676,0.0909090909091,0.1875,0.0124285657195,11,0.0864946889226,0.310344827586,0,0,0,0,0,0,cyt 
1169,27,0.0,4.394,3.412,-2.221,1,0.198518222222,46.044,38.0608546744,4,0.0384615384615,0,0.019801980198,2,2,0.0927835051546,0.184210526316,0.1,0.375,0.0149917476618,16,0.0955690703736,0.307296137339,0,0,0,0,0,1,cyt 
102,18,0.0,0,2.171,-1.194,1,0.265785555556,57.658,29.863466,3,0.025641025641,0,0.0121951219512,5,1,0.0515463917526,0.0526315789474,0.0588235294118,0.4375,0.0110461338532,10,0.158536585366,0.163265306122,0,0,0,0,0,0,cyt 
102,18,0.0,5.782,1.656,-2.018,1,0.226550888889,53.545,29.2776655814,3,0.0128205128205,0,0.0215053763441,6,1,0.0618556701031,0.0526315789474,0.1,0.1875,0.00609756097561,9,0.111111111111,0.19387755102,0,0,0,0,0,0,cyt 
330,9,0.0,5.796,3.036,-2.057,1,0.184300166667,57.908,36.5955456279,1,0.00176056338028,0.00934579439252,0.0181818181818,4,1,0.0927835051546,0.0526315789474,0.166666666667,0.1875,0.0124339976154,13,0.0891719745223,0.254601226994,0,0,0,0,0,1,cyt 
1901,45,0.0,4.978,3.31,-0.614,1,0.146733555556,62.087,35.4450230233,7,0.0128205128205,0.00909090909091,0.019801980198,6,0,0.0824742268041,0.157894736842,0.0357142857143,0.5,0.00929451287794,9,0.114511873351,0.187137585662,0,0,0,0,0,0,cyt 
1781,45,0.0,5.245,2.492,-3.192,0,0.119472333333,54.725,29.962384,8,0.0128205128205,0,0.00869565217391,0,0,0.0103092783505,0.0135135135135,0.1,0.0,0.00660885167464,6,0.0626410835214,0.180078784468,0,0,0,0,0,0,cyt 
326,27,0.0,5.534,2.644,-1.562,0,0.223217944444,43.727,27.5053111628,4,0,0,0.0347826086957,4,1,0.0824742268041,0.00714285714286,0.2,0.3125,0.0134598792062,8,0.0804953560372,0.201863354037,0,0,0,0,0,0,cyt 
3911,0,0.0,5.829,3.097,-2.772,0,0.0909417777778,53.608,41.4528336744,4,0.00649350649351,0,0.034188034188,3,0,0.0515463917526,0.0277777777778,0.142857142857,0.3125,0.0102692463807,15,0.0861096873398,0.170975172767,0,0,0,0,0,0,cyt 
323,18,0.0,6.261,3.071,-2.535,0,0.299672277778,55.94,37.0029131628,2,0.0031746031746,0,0.00970873786408,5,1,0.0721649484536,0.0405405405405,0.0769230769231,0.25,0.0121993726037,9,0.13201320132,0.260188087774,0,0,0,0,0,1,cyt 
326,27,0.0,4.245,3.365,-1.489,0,0.266973444444,57.03,37.0311965349,7,0.0015873015873,0,0.00970873786408,1,1,0.0618556701031,0.105263157895,0.0666666666667,0.3125,0.011734253667,7,0.12012987013,0.245341614907,0,0,0,0,0,1,cyt 
326,27,0.0,5.168,3.103,-2.008,0,0.256166444444,55.603,37.1466551628,3,0.0015873015873,0,0.00970873786408,2,1,0.0515463917526,0.105263157895,0.0666666666667,0.3125,0.0103537532355,7,0.11356466877,0.254658385093,0,0,0,0,0,1,cyt 
301,18,0.0,5.004,3.319,-1.969,0,0.291480888889,50.636,34.1476948837,2,0.00333333333333,0.00934579439252,0.0194174757282,3,3,0.144329896907,0.0540540540541,0.0384615384615,0.125,0.0134440490312,6,0.0993150684932,0.255892255892,0,0,0,0,0,1,cyt 
479,9,0.0,5.233,3.703,-2.134,0,0.247905,50.956,39.1145869767,2,0.0128205128205,0.00980392156863,0.02,5,4,0.0927835051546,0.027027027027,0.0666666666667,0.0,0.0111468627902,11,0.10278372591,0.261052631579,0,0,0,0,0,1,cyt 
495,27,0.0,5.795,4.961,-1.292,0,0.160824388889,54.241,44.0040840465,3,0.012987012987,0,0.0169491525424,3,0,0.0515463917526,0.0789473684211,0.0833333333333,0.4375,0.0123251165889,8,0.127083333333,0.295315682281,0,0,0,0,0,0,cyt 
315,36,0.0,6.415,2.962,-1.268,0,0.388283055556,57.545,37.7307463256,2,0.025641025641,0.00934579439252,0.0196078431373,2,3,0.123711340206,0.0789473684211,0,0.5625,0.0100250626566,10,0.118421052632,0.260450160772,0,0,0,0,0,1,cyt 
125,36,0.0,4.498,1.784,-2.845,0,0.0840261111111,66.418,33.5623405814,0,0.00438596491228,0.00980392156863,0.00980392156863,7,4,0.0618556701031,0.0526315789474,0.0909090909091,0.0625,0.00909090909091,13,0.122641509434,0.165289256198,0,0,0,0,0,1,cyt 
682,27,0.0,6.44,2.523,-1.413,1,0.197235166667,54.056,36.6072235814,0,0.00666666666667,0,0.0373831775701,4,2,0.0103092783505,0.0789473684211,0.1,0.4375,0.00973481033904,10,0.0876671619614,0.203539823009,0,0,0,0,0,1,cyt 
695,27,0.0,6.44,2.467,-1.413,1,0.200777111111,54.354,36.6495465116,0,0.00666666666667,0,0.0373831775701,4,2,0.020618556701,0.105263157895,0.1,0.375,0.00921443073559,10,0.109011627907,0.20984081042,0,0,0,0,0,1,cyt 
487,27,0.0,6.012,4.954,-2.741,0,0.294348166667,57.024,34.7382125116,3,0.0128205128205,0.00970873786408,0.019801980198,4,1,0.0618556701031,0.105263157895,0.125,0.125,0.0146826293201,11,0.0714285714286,0.335403726708,0,0,0,0,0,0,cyt 
512,9,0.0,4.425,3.111,-2.858,0,0.0906135555556,41.882,28.4655855814,5,0.0027027027027,0.00980392156863,0.019801980198,7,2,0.0824742268041,0.0540540540541,0.192307692308,0.0625,0.0100496838302,7,0.0838323353293,0.26968503937,0,0,0,0,0,0,cyt 
312,54,0.0,5.119,3.624,-1.891,1,0.247128388889,50.064,29.5455133721,4,0.00333333333333,0,0.00990099009901,4,0,0.123711340206,0.0540540540541,0.0588235294118,0.125,0.0121765601218,7,0.098976109215,0.272727272727,0,0,0,0,0,0,cyt 
111,27,0.0,0,0.954,-2.665,0,0.107181,48.57,36.5206899535,3,0.00333333333333,0,0.054347826087,2,0,0.0,0.0263157894737,0.235294117647,0.125,0.0140350877193,10,0.125,0.130841121495,0,0,0,0,0,0,cyt 
1248,36,0.0,6.587,3.354,-1.859,0,0.167341944444,57.93,34.5561351628,3,0.025641025641,0,0.02,2,0,0.0721649484536,0.0555555555556,0.0625,0.5625,0.010337579891,12,0.0890688259109,0.275723472669,0,0,0,0,0,1,cyt 
275,9,0.0,6.166,4.169,-1.336,0,0.273365555556,49.83,33.9483551163,1,0.025641025641,0,0.0175438596491,7,4,0.113402061856,0.157894736842,0.2,0.0625,0.0106753812636,8,0.133828996283,0.232472324723,0,0,0,0,0,0,cyt 
632,9,0.0,5.96,3.36,-2.402,0,0.433678333333,54.523,38.2505535349,0,0.000948766603416,0.00970873786408,0,8,1,0.0824742268041,0.0263157894737,0.0434782608696,0.1875,0.0127487294341,0,0.143790849673,0.275477707006,0,0,0,0,0,1,cyt 
182,36,0.0,6.561,2.625,-1.941,0,0.190584444444,51.015,36.0542245814,4,0.025641025641,0,0.0194174757282,6,0,0.103092783505,0.210526315789,0.1,0.0625,0.0130761686826,9,0.0987654320988,0.359550561798,0,0,0,0,0,0,cyt 
179,27,0.0,4.24,3.182,-2.316,0,0.194581833333,44.198,38.8971520698,4,0.012987012987,0,0.01,6,1,0.0824742268041,0.157894736842,0.0909090909091,0.0625,0.0139906728847,11,0.167701863354,0.36,0,0,0,0,0,0,cyt 
330,9,0.0,5.099,3.491,-1.397,0,0.265736444444,64.509,37.3201217907,4,0.012987012987,0,0.00970873786408,3,1,0.0515463917526,0.0526315789474,0.0434782608696,0.1875,0.0153295861012,7,0.111455108359,0.325153374233,0,0,0,0,0,0,cyt 
322,36,0.0,4.916,2.858,-1.916,0,0.298390944444,61.477,37.8240430698,3,0.0128205128205,0,0.0192307692308,3,0,0.0618556701031,0.0540540540541,0.0357142857143,0.3125,0.0108410561287,8,0.108910891089,0.339622641509,0,0,0,0,0,0,cyt 
912,0,0.0,5.505,3.579,-2.001,0,0.276074444444,52.795,28.9364008372,6,0.025641025641,0.00847457627119,0.00970873786408,8,0,0.0927835051546,0.0789473684211,0.107142857143,0.375,0.0121684683088,5,0.152149944873,0.196035242291,0,0,0,0,0,1,cyt 
1522,9,0.0,5.773,3.18,-1.297,0,0.189020277778,55.128,37.0481585581,11,0.00877192982456,0,0.01,2,0,0.0824742268041,0.00925925925926,0.0666666666667,0.125,0.0107998176654,8,0.155467720685,0.185770750988,0,0,0,0,0,1,cyt 
503,45,0.0,5.217,3.535,-2.214,0,0.106435277778,39.35,25.0865263256,6,0.025641025641,0,0.0196078431373,7,1,0.0721649484536,0.0789473684211,0.3,0.0625,0.00884472592269,1,0.08,0.216432865731,0,0,0,0,0,0,cyt 
557,63,0.0,4.538,4.1,-3.281,0,0.0718881111111,40.534,16.377316186,3,0.0128205128205,0,0,1,0,0.0412371134021,0.0789473684211,0.5,0.0625,0.0107030636292,10,0.0706319702602,0.251356238698,0,0,0,0,0,0,cyt 
186,27,0.0,4.653,2.656,-1.683,0,0.249309333333,55.7,38.6666300465,4,0.025641025641,0,0.025641025641,5,1,0.134020618557,0.0789473684211,0.0588235294118,0.625,0.0102073365231,12,0.116279069767,0.263736263736,0,0,0,0,0,0,cyt 
843,27,0.0,4.127,3.133,-2.832,0,0.207667333333,56.917,33.8387880465,6,0.00333333333333,0,0,4,1,0.0309278350515,0.0540540540541,0.05,0.25,0.0131632239773,8,0.102286401925,0.289630512515,0,0,0,0,0,1,cyt 
290,18,0.0,5.846,2.203,-1.747,0,0.176867555556,49.751,36.0670784651,1,0.012987012987,0,0.0169491525424,3,2,0.113402061856,0.131578947368,0.181818181818,0.25,0.00946502057613,13,0.122222222222,0.286713286713,0,0,0,0,0,0,cyt 
290,12,0.0,6.305,3.072,-2.068,0,0.2797745,49.623,33.2129886047,0,0.012987012987,0,0.00847457627119,4,2,0.134020618557,0.0789473684211,0.0909090909091,0.0625,0.00987654320988,10,0.0971223021583,0.307692307692,0,0,0,0,0,0,cyt 
290,18,0.0,5.01,3.398,-2.495,0,0.186744722222,51.913,35.788671907,3,0.012987012987,0,0.00877192982456,4,2,0.103092783505,0.184210526316,0.0909090909091,0.25,0.00761316872428,12,0.119565217391,0.300699300699,0,0,0,0,0,0,cyt 
290,9,0.0,6.958,3.501,-2.3,0,0.189589777778,49.623,35.5011810233,2,0.012987012987,0.00892857142857,0.0196078431373,4,2,0.134020618557,0.157894736842,0.0909090909091,0.125,0.00905349794239,12,0.105072463768,0.311188811189,0,0,0,0,0,0,cyt 
203,63,0.0,6.085,1.919,-2.694,1,0.144321833333,52.655,37.5582820698,3,0.00438596491228,0,0.03,6,0,0.0721649484536,0.105263157895,0.16,0.3125,0.0121432908318,11,0.0867346938776,0.155778894472,0,0,0,0,0,1,cyt 
171,54,0.0,4.508,5.266,-0.61,1,0.247995555556,62.334,30.4376410698,1,0.0128205128205,0,0.01,8,2,0.0927835051546,0.0540540540541,0.0714285714286,0.125,0.0105263157895,8,0.117283950617,0.275449101796,0,0,0,0,0,1,cyt 
344,18,0.0,4.872,4.186,-3.037,1,0.260999111111,53.207,39.8789898605,6,0.00649350649351,0,0.0188679245283,5,1,0.0515463917526,0.0789473684211,0,0.125,0.0120580087991,8,0.153846153846,0.235294117647,0,0,0,0,0,0,cyt 
309,9,0.0,5.873,4.83,-2.569,0,0.212222555556,58.219,34.4852024419,4,0.00877192982456,0,0.0181818181818,5,0,0.0927835051546,0.105263157895,0.0357142857143,0.1875,0.0115131578947,8,0.164383561644,0.249180327869,0,0,0,0,0,0,cyt 
862,45,0.0,7.096,3.438,-2.929,0,0.231573111111,50.14,31.7460856512,5,0.012987012987,0,0.00877192982456,7,2,0.0515463917526,0.131578947368,0.105263157895,0.1875,0.0113273671694,9,0.137809187279,0.198135198135,0,0,0,0,0,1,cyt 
843,36,0.0,5.6,4.381,-1.099,0,0.2806475,51.945,33.185910093,6,0.00333333333333,0.00917431192661,0.00877192982456,6,2,0.0309278350515,0.105263157895,0.105263157895,0.0,0.0117172493277,6,0.146844660194,0.203814064362,0,0,0,0,0,1,cyt 
380,18,0.0,4.65,2.687,-0.682,0,0.209452555556,67.356,42.9844717674,2,0.0128205128205,0.0196078431373,0,2,0,0.0412371134021,0.027027027027,0,0.5,0.0102624248644,12,0.102209944751,0.300531914894,0,0,0,0,0,0,cyt 
457,72,0.0,0,3.879,-1.867,0,0.202572611111,62.783,37.266877814,5,0.00438596491228,0,0,0,4,0.0309278350515,0.0789473684211,0.0666666666667,0.125,0.00555287300821,7,0.229213483146,0.200883002208,0,0,0,0,0,1,cyt 
218,9,0.0,5.553,3.893,-3.444,0,0.166553666667,52.642,35.5835217674,3,0.025641025641,0,0.00892857142857,7,1,0.0515463917526,0.105263157895,0.0555555555556,0.0625,0.0141597648945,7,0.150753768844,0.299065420561,0,0,0,0,0,1,cyt 
