@RELATION /share/usr/briese/Pythonscrips/models/multiloc_fungi_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Golgi_signal4 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal13 numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1-90|hydrophob numeric 
@ATTRIBUTE property_sum|1-30|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1--1|charge numeric 
@ATTRIBUTE maxPaacountNormed|1-40|leucine|L numeric 
@ATTRIBUTE maxPaacount|1-40|lysine|K numeric 
@ATTRIBUTE maxPaacount|1-170|cysteine|C numeric 
@ATTRIBUTE maxPaacount|1--1|serine|S numeric 
@ATTRIBUTE Paacount|d=2|1-60|hydrophob_very|2 numeric 
@ATTRIBUTE maxPaacountNormed|1--1|hydrophob_very|2 numeric 
@ATTRIBUTE letterCount|1-20|1|charged numeric 
@ATTRIBUTE Paacount|d=2|1--1|charge_none|0 numeric 
@ATTRIBUTE minPaacount|1--1|structure_sheet|2 numeric 
@ATTRIBUTE maxPaacountNormed|1-170|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE 0005737 numeric 
@ATTRIBUTE 0005783 numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE 0005777 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,ER,ex,gol,mTP,nuc,per,mem,vac} 
 
@DATA 
1130,40.034,27,5.796,13,4.685,-1.585,0.287683176471,0.250259636364,174.043,37.5854236128,0.0135135135135,0.0322580645161,0.00662251655629,0.019520851819,0.0701754385965,0.058562555457,1,0.530195381883,0.0017017017017,0.178571428571,1,0,1,1.0,0,0,1.0,0,0,cyt 
1182,37.208,18,6.466,12,4.685,-4.51,0.188784176471,0.180356806818,189.715,37.2844939007,0,0,0,0.0203562340967,0.0175438596491,0.058524173028,1,0.560271646859,0.00172265288544,0.184523809524,1,0,1,1.0,0,0,1.0,0,0,cyt 
74,19.372,18,6.297,15,2.177,-1.528,0.376502235294,0.294134611111,168.439,37.0902439286,0.0263157894737,0,0,0.0144927536232,0.0877192982456,0.0704225352113,2,0.542857142857,0.00198609731877,0.0277777777778,0,0,1,1.0,0,0,1.0,0,10,cyt 
1101,47.77,18,5.446,17,3.444,-1.962,0.266065705882,0.278669363636,182.515,36.7971053382,0.0263157894737,0.0769230769231,0,0.00821917808219,0.0526315789474,0.109289617486,2,0.566089334549,0.00350877192982,0.136904761905,0,0,0,0,0,0,0,0,0,cyt 
670,37.704,27,5.176,13,4.814,-2.675,0.249315352941,0.244143386364,165.675,35.8104726261,0,0,0,0.00456621004566,0.0175438596491,0.0989505247376,2,0.534534534535,0.00401709401709,0.125,0,0,0,1.0,1.0,1.0,0,0,0,cyt 
701,39.3,18,6.596,14,5.298,-2.687,0.0676598823529,0.188972670455,185.159,36.5570181306,0,0,0,0.012912482066,0.0,0.103151862464,4,0.540889526542,0.00356037151703,0.0952380952381,0,0,0,1.0,1.0,1.0,0,0,0,cyt 
377,44.18,9,5.643,13,3.823,-2.122,0.194437823529,0.261469079545,157.832,35.6393016836,0.00403225806452,0,0.00617283950617,0.013698630137,0.0526315789474,0.0909090909091,5,0.552278820375,0.00325251330574,0.136904761905,1,0,0,1.0,0,1.0,0,0,2,cyt 
408,41.608,18,6.155,14,2.941,-2.598,0.176219588235,0.292072136364,183.582,36.4606890941,0.00588235294118,0,0,0.0100502512563,0.105263157895,0.0716049382716,3,0.55198019802,0.00229095074456,0.14880952381,0,0,0,0,0,0,0,0,2,cyt 
374,31.544,18,6.843,13,3.456,-1.301,0.318595941176,0.284656590909,178.726,36.3406502027,0,0.08,0.0120481927711,0.00828729281768,0.140350877193,0.099730458221,1,0.575675675676,0.00438904494382,0.0892857142857,1,0,0,1.0,0,1.0,0,0,2,cyt 
375,26.544,18,6.104,13,4.016,-1.322,0.322946294118,0.283017261364,177.831,36.8932238464,0.00714285714286,0.04,0.0120481927711,0.013698630137,0.140350877193,0.118279569892,1,0.595687331536,0.00391236306729,0.125,1,0,0,1.0,0,1.0,0,0,2,cyt 
375,33.544,18,5.051,15,4.158,-2.008,0.325903470588,0.270609284091,177.624,36.4399728787,0,0.04,0.0121951219512,0.0112044817927,0.105263157895,0.110215053763,0,0.55795148248,0.00507703081232,0.119047619048,1,0,0,1.0,0,1.0,0,0,2,cyt 
375,31.372,18,5.175,14,4.457,-1.076,0.329337882353,0.281727090909,179.331,36.3236301968,0.00446428571429,0.0588235294118,0.0120481927711,0.0112044817927,0.105263157895,0.118279569892,0,0.587601078167,0.00422535211268,0.077380952381,1,0,0,1.0,0,1.0,0,0,2,cyt 
379,28.836,18,6.104,15,3.187,-1.671,0.302828882353,0.259286693182,172.494,36.6067517573,0,0.04,0.0120481927711,0.010781671159,0.105263157895,0.093085106383,2,0.589333333333,0.00338135842399,0.125,1,0,0,1.0,0,1.0,0,0,2,cyt 
368,26.164,36,5.298,15,4.615,-1.513,0.334322470588,0.287318022727,175.354,36.3675066758,0,0.047619047619,0.0120481927711,0.0138121546961,0.122807017544,0.115068493151,0,0.60989010989,0.00375,0.0535714285714,1,0,0,1.0,0,1.0,0,0,2,cyt 
374,28.672,9,4.84,13,3.855,-2.285,0.281030529412,0.275050886364,174.644,36.7585476568,0,0.0588235294118,0.0120481927711,0.00842696629213,0.105263157895,0.121293800539,1,0.567567567568,0.00521842850753,0.113095238095,1,0,0,1.0,0,1.0,0,0,2,cyt 
374,27.676,18,5.227,14,3.986,-1.206,0.265212411765,0.287138295455,179.714,37.3749418703,0,0.0416666666667,0.0120481927711,0.00849858356941,0.105263157895,0.11590296496,1,0.572972972973,0.00474016853933,0.0952380952381,1,0,0,1.0,0,1.0,0,0,2,cyt 
374,46.944,18,5.732,14,4.248,-1.301,0.327336823529,0.300083431818,179.052,36.823162473,0.00925925925926,0.08,0.0120481927711,0.0111420612813,0.157894736842,0.11320754717,1,0.575675675676,0.00429505135387,0.130952380952,1,0,0,1.0,0,1.0,0,0,2,cyt 
375,28.544,18,6.104,14,3.187,-1.554,0.306918352941,0.290606784091,182.236,37.0452169245,0,0.08,0.0120481927711,0.0112044817927,0.140350877193,0.10752688172,1,0.579514824798,0.00335195530726,0.0892857142857,1,0,0,1.0,0,1.0,0,0,2,cyt 
391,26.876,27,6.104,15,3.187,-1.551,0.306824176471,0.284642306818,178.651,36.5740467261,0,0.0588235294118,0.0120481927711,0.00804289544236,0.105263157895,0.100515463918,1,0.594315245478,0.00426742532006,0.10119047619,1,0,0,1.0,0,1.0,0,0,2,cyt 
378,32.876,18,6.104,14,3.173,-1.551,0.306824176471,0.270435375,179.311,36.3241184118,0,0.0588235294118,0.0120481927711,0.0111111111111,0.105263157895,0.0906666666667,1,0.585561497326,0.00406278855032,0.0952380952381,1,0,0,1.0,0,1.0,0,0,2,cyt 
373,23.9,18,5.932,15,4.376,-1.542,0.284829588235,0.283043681818,172.927,36.6256557453,0,0.0384615384615,0.0120481927711,0.00845070422535,0.105263157895,0.0918918918919,2,0.571815718157,0.00535096002518,0.0714285714286,1,0,0,1.0,0,1.0,0,0,2,cyt 
376,27.344,27,5.814,15,3.721,-1.962,0.282934764706,0.254026363636,173.847,36.360545707,0.0135135135135,0.04,0.0120481927711,0.00831024930748,0.105263157895,0.0938337801609,2,0.588709677419,0.00408542246982,0.0892857142857,1,0,0,1.0,0,1.0,0,0,2,cyt 
378,27.02,27,5.932,14,4.383,-1.426,0.325057176471,0.270701329545,172.602,36.7839610989,0,0.08,0.0126582278481,0.00555555555556,0.105263157895,0.0933333333333,2,0.542780748663,0.00503472222222,0.0714285714286,1,0,0,1.0,0,1.0,0,0,2,cyt 
375,27.708,36,5.934,14,3.427,-1.322,0.293723235294,0.266169897727,172.086,36.7529212264,0,0.04,0.0120481927711,0.00847457627119,0.122807017544,0.104838709677,1,0.579514824798,0.00455182072829,0.113095238095,1,0,0,1.0,0,1.0,0,0,2,cyt 
1338,33.752,0,6.32,15,3.824,-1.473,0.255621352941,0.314719113636,173.677,36.6676112804,0.0526315789474,0.05,0.0243902439024,0.00601956358164,0.105263157895,0.101123595506,3,0.574212893553,0.00295727930304,0.077380952381,0,0,0,0,0,0,0,0,0,cyt 
1169,47.18,27,4.394,13,3.412,-2.221,0.211511941176,0.243928056818,179.093,35.7177386,0.0526315789474,0.08,0.00641025641026,0.00606060606061,0.0877192982456,0.0994854202401,5,0.56652360515,0.00183734648487,0.125,1,0,0,0,0,0,0,0,0,cyt 
102,29.436,18,0,12,2.171,-1.394,0.257335,0.269253420455,173.115,34.7318935306,0.0526315789474,0.0357142857143,0,0.0210526315789,0.0877192982456,0.111111111111,2,0.510204081633,0.00166112956811,0.24,0,0,0,1.0,0,0,0,0,2,cyt 
102,33.292,18,5.782,11,1.656,-2.218,0.215632411765,0.269558647727,163.405,33.6140738776,0.0263157894737,0.0322580645161,0,0.0210526315789,0.105263157895,0.131313131313,2,0.5,0.00166112956811,0.24,0,0,0,1.0,0,0,0,0,2,cyt 
330,44.472,9,5.796,13,3.036,-2.057,0.126493823529,0.220234840909,175.466,37.2164745276,0.00267379679144,0.047619047619,0.00636942675159,0.00611620795107,0.0,0.0917431192661,4,0.460122699387,0.00187361607903,0.142857142857,1,0,0,1.0,0,0,0,0,2,cyt 
1901,43.104,45,4.978,13,3.31,-0.914,0.143549705882,0.212806386364,188.978,34.8758543168,0.0263157894737,0.0952380952381,0.00625,0.0212089077413,0.0350877192982,0.0674394099052,0,0.519240906695,0.00209699332506,0.190476190476,0,0,0,0,0,0,0,0,2,cyt 
1781,74.53,45,5.245,12,2.492,-3.692,0.103885941176,0.188986397727,163.154,32.218828112,0,0,0,0.0124223602484,0.0,0.0393700787402,3,0.4231851435,0.00163584162382,0.297619047619,0,0,0,0,0,0,0,0,0,cyt 
326,108.038,27,5.534,13,2.644,-1.762,0.235507294118,0.224208931818,146.496,36.0725110155,0,0,0,0.00970873786408,0.0877192982456,0.0897832817337,5,0.459627329193,0.0019160758766,0.160714285714,0,0,0,0,0,0,0,0,2,cyt 
3911,87.232,0,5.829,14,3.097,-2.772,0.129511,0.158038704545,176.472,34.7766428986,0.0135135135135,0.0322580645161,0.00617283950617,0.00870901639344,0.0526315789474,0.0624360286592,7,0.418735602764,0.00167052171678,0.244047619048,0,0,0,0,0,0,0,0,0,cyt 
323,38.872,18,6.261,15,3.071,-2.635,0.317959352941,0.264294090909,171.228,37.4404866834,0.00588235294118,0.0322580645161,0.00625,0.0132450331126,0.0701754385965,0.096875,2,0.498432601881,0.00243987452074,0.0833333333333,1,0,0,1.0,0,0,0,0,2,cyt 
326,37.884,27,4.245,14,3.365,-1.889,0.246157941176,0.264822636364,173.562,37.3330260901,0.0037037037037,0.0285714285714,0.00625,0.00967741935484,0.0877192982456,0.0897832817337,2,0.493788819876,0.00290486564996,0.10119047619,1,0,0,1.0,0,0,0,0,2,cyt 
326,41.548,27,5.168,13,3.103,-2.208,0.230610705882,0.265950613636,173.055,36.4157850683,0.0037037037037,0,0.00625,0.00641025641026,0.0701754385965,0.0866873065015,1,0.496894409938,0.00308641975309,0.119047619048,1,0,0,1.0,0,0,0,0,2,cyt 
301,40.388,18,5.004,16,3.319,-2.069,0.302838411765,0.278255397727,170.753,37.4615327138,0.00714285714286,0.0357142857143,0.00636942675159,0.00692041522491,0.122807017544,0.0838926174497,2,0.474747474747,0.00325814536341,0.0833333333333,1,0,0,1.0,0,0,0,0,2,cyt 
479,43.972,9,5.233,13,3.703,-2.234,0.199008,0.269447534091,191.196,36.4695265579,0.0263157894737,0.0606060606061,0.00657894736842,0.00646551724138,0.0701754385965,0.102941176471,3,0.446315789474,0.00332480818414,0.10119047619,1,0,0,1.0,1.0,1.0,1.0,0,2,cyt 
495,43.308,27,5.795,13,4.961,-1.592,0.134023941176,0.222794159091,194.816,37.3781700815,0.0135135135135,0,0,0.00614754098361,0.0350877192982,0.0975609756098,1,0.582484725051,0.00199866755496,0.107142857143,0,0,0,1.0,0,1.0,0,0,2,cyt 
315,36.892,36,6.415,13,2.962,-1.368,0.366993470588,0.285316909091,181.11,36.3853148971,0.0526315789474,0.0357142857143,0.00636942675159,0.00664451827243,0.157894736842,0.099358974359,0,0.527331189711,0.00286430361618,0.119047619048,1,0,0,1.0,0,0,0,0,2,cyt 
125,49.044,36,4.498,10,1.784,-2.845,0.0839277058824,0.212637295455,183.865,36.623611124,0.00925925925926,0.0285714285714,0.00934579439252,0.00961538461538,0.0526315789474,0.0409836065574,5,0.380165289256,0.00131061598952,0.170731707317,1,0,0,1.0,1.0,1.0,0,0,2,cyt 
682,55.3,27,6.44,12,2.523,-1.413,0.197344235294,0.180148125,196.065,33.8802877404,0.00925925925926,0.111111111111,0,0.0105580693816,0.0,0.0574374079529,1,0.479351032448,0.00184625713327,0.130952380952,1,0,0,1.0,0,0,0,0,0,cyt 
695,50.48,27,6.44,12,2.467,-1.413,0.202770705882,0.183707909091,196.363,33.8457616165,0.00925925925926,0.111111111111,0,0.0103550295858,0.0,0.0534682080925,1,0.50506512301,0.00179603310948,0.130952380952,1,0,0,1.0,0,0,0,0,0,cyt 
487,37.288,27,6.012,16,4.954,-2.841,0.276540647059,0.259906829545,168.325,36.5570334845,0.0263157894737,0.047619047619,0.00653594771242,0.00643776824034,0.0526315789474,0.0867768595041,4,0.573498964803,0.00203297944432,0.125,0,0,0,1.0,0,0,0,0,0,cyt 
512,43.94,9,4.425,13,3.111,-3.058,0.0907975882353,0.224327340909,145.995,35.2125540256,0.00588235294118,0,0.00657894736842,0.0121951219512,0.0526315789474,0.0923379174853,10,0.507874015748,0.00393747762797,0.166666666667,0,0,0,1.0,0,0,0,0,2,cyt 
312,36.232,54,5.119,15,3.624,-2.091,0.266755823529,0.2207785,162.679,34.3719509221,0.00714285714286,0,0,0.013698630137,0.122807017544,0.084142394822,3,0.600649350649,0.00212585034014,0.178571428571,0,0,0,1.0,0,0,0,0,2,cyt 
111,36.22,27,0,11,0.954,-2.765,0.0866722352941,0.163059534091,158.216,38.8536415327,0.00446428571429,0.0714285714286,0,0.010752688172,0.0,0.0185185185185,7,0.383177570093,0.0,0.146788990826,0,0,0,1.0,0,0,0,0,2,cyt 
1248,42.62,36,6.587,12,3.354,-1.859,0.140587176471,0.260030204545,179.369,35.8252258368,0.0263157894737,0.0454545454545,0,0.0112449799197,0.0701754385965,0.129317269076,4,0.51768488746,0.00330287822245,0.130952380952,1,0,0,0,0,0,0,0,0,cyt 
275,51.548,9,6.166,12,4.169,-1.336,0.200866235294,0.304561079545,167.89,36.0407330074,0.0526315789474,0,0.00641025641026,0.00769230769231,0.0701754385965,0.113970588235,4,0.468634686347,0.00174291938998,0.10119047619,0,0,0,1.0,0,0,0,0,2,cyt 
632,28.964,9,5.96,13,3.36,-2.402,0.438565705882,0.279289863636,175.203,37.366632215,0,0,0.00653594771242,0.0222929936306,0.105263157895,0.0667726550079,0,0.552547770701,0.00162601626016,0.0892857142857,1,0,0,1.0,0,1.0,0,0,2,cyt 
182,35.196,36,6.561,18,2.625,-2.341,0.203443352941,0.311960784091,171.707,36.192223618,0.00403225806452,0.0434782608696,0,0.0119047619048,0.0526315789474,0.145251396648,4,0.516853932584,0.00294213795358,0.0595238095238,0,0,0,1.0,0,0,0,0,2,cyt 
179,34.256,27,4.24,17,3.182,-2.516,0.219568529412,0.285051886364,172.512,37.7760241943,0.0135135135135,0,0.00641025641026,0.0118343195266,0.0526315789474,0.119318181818,4,0.582857142857,0.00140712945591,0.0595238095238,0,0,0,1.0,0,0,0,0,2,cyt 
330,29.424,9,5.099,15,3.491,-1.597,0.266675235294,0.244911715909,187.312,36.2645815675,0,0,0.00602409638554,0.0128205128205,0.0175438596491,0.0642201834862,1,0.58282208589,0.00197132616487,0.107142857143,0,0,0,1.0,0,0,0,0,2,cyt 
322,63.034,36,4.916,15,2.858,-2.216,0.302395882353,0.233229306818,184.116,37.0505551541,0.0263157894737,0.0434782608696,0,0.00660066006601,0.0526315789474,0.0658307210031,0,0.540880503145,0.0031474033922,0.10119047619,0,0,0,1.0,0,1.0,0,0,0,cyt 
912,70.734,0,5.505,13,3.579,-2.201,0.245197588235,0.254178147727,166.652,37.1226487555,0.00267379679144,0,0.00595238095238,0.00998890122087,0.0350877192982,0.0880088008801,2,0.463656387665,0.00118569264212,0.172619047619,1,0,0,1.0,0,0,0,0,0,cyt 
1522,35.324,9,5.773,13,3.18,-1.897,0.190138705882,0.225512568182,182.463,36.3800414032,0.0185185185185,0,0,0.0171390903098,0.0701754385965,0.0724160631995,2,0.50790513834,0.00114661932238,0.232142857143,1,0,0,1.0,0,0,0,0,0,cyt 
503,48.508,45,5.217,11,3.535,-2.614,0.106139235294,0.186490181818,135.98,34.8756659519,0,0,0.0180722891566,0.0103305785124,0.0526315789474,0.098,6,0.456913827655,0.0034942127102,0.190476190476,0,0,0,0,0,0,0,0,0,cyt 
557,50.008,63,4.538,13,4.1,-3.481,0.116910823529,0.173653386364,117.715,34.789943358,0,0,0,0.00743494423792,0.0526315789474,0.0938628158845,11,0.473779385172,0.00255302435192,0.220238095238,0,0,0,0,0,0,0,0,0,cyt 
186,44.806,27,4.653,14,2.656,-1.783,0.242354588235,0.258932204545,183.776,37.2069272747,0.0526315789474,0.0540540540541,0.00636942675159,0.0225988700565,0.122807017544,0.131147540984,2,0.510989010989,0.00290697674419,0.125,0,0,0,1.0,1.0,0,0,0,2,cyt 
843,40.036,27,4.127,17,3.133,-3.032,0.178643352941,0.229862511364,173.784,35.7364692908,0.00324675324675,0,0,0.0120627261761,0.0175438596491,0.097619047619,0,0.620977353993,0.00195760766842,0.261904761905,1,0,0,0,0,0,0,0,0,cyt 
290,43.244,18,5.846,12,2.203,-1.847,0.171497705882,0.260172931818,175.505,36.5685855455,0.0135135135135,0.0294117647059,0,0.0142348754448,0.105263157895,0.0940766550523,4,0.520979020979,0.00286757038582,0.077380952381,0,0,0,1.0,0,0,0,0,2,cyt 
290,57.916,12,6.305,12,3.072,-2.068,0.274749352941,0.276277545455,162.6,34.7476526084,0.0135135135135,0,0,0.0218181818182,0.105263157895,0.0871080139373,4,0.56993006993,0.00514403292181,0.119047619048,0,0,0,1.0,0,0,0,0,2,cyt 
290,35.664,18,5.01,13,3.398,-2.495,0.199833235294,0.255751954545,174.139,35.8628434056,0.0135135135135,0.0294117647059,0,0.010752688172,0.0877192982456,0.11149825784,3,0.559440559441,0.0037037037037,0.10119047619,0,0,0,1.0,0,0,0,0,2,cyt 
290,58.916,9,6.958,13,3.501,-2.5,0.183896882353,0.266321556818,169.147,35.6427769965,0.0135135135135,0.0285714285714,0.00617283950617,0.0145454545455,0.105263157895,0.0940766550523,4,0.548951048951,0.00452674897119,0.113095238095,0,0,0,1.0,0,0,0,0,2,cyt 
203,48.188,63,6.085,13,1.919,-2.794,0.0825751764706,0.197233704545,172.291,36.7290244975,0.00892857142857,0.0540540540541,0,0.0255102040816,0.0526315789474,0.07,6,0.361809045226,0.00236486486486,0.136904761905,1,0,0,1.0,0,0,1.0,0,2,cyt 
171,27.224,54,4.508,13,5.266,-0.71,0.267233176471,0.317624795455,180.365,35.3327989162,0.0135135135135,0.05,0.0059880239521,0.0130718954248,0.0701754385965,0.119047619048,2,0.449101796407,0.00184331797235,0.130952380952,1,0,0,1.0,0,0,0,0,2,cyt 
344,43.972,18,4.872,14,4.186,-3.237,0.243566529412,0.256283488636,186.308,38.7277694912,0.00925925925926,0,0,0.0154320987654,0.0350877192982,0.0938416422287,1,0.505882352941,0.00195993031359,0.119047619048,0,0,0,1.0,0,0,0,0,2,cyt 
309,38.444,9,5.873,15,4.83,-2.769,0.220051647059,0.236700204545,174.44,38.4174414098,0.00344827586207,0,0,0.00655737704918,0.0701754385965,0.0882352941176,2,0.475409836066,0.00219298245614,0.14880952381,0,0,0,1.0,1.0,1.0,1.0,0,2,cyt 
862,31.484,45,7.096,13,3.438,-3.029,0.248169058824,0.229473897727,160.976,37.8529538159,0.0135135135135,0,0.00666666666667,0.0152761457109,0.0526315789474,0.0488940628638,4,0.462703962704,0.00209336403601,0.142857142857,1,0,0,1.0,0,0,0,0,0,cyt 
843,29.348,36,5.6,15,4.381,-1.599,0.275056882353,0.219581954545,167.588,37.6956660763,0.00714285714286,0,0.0062893081761,0.0157194679565,0.0526315789474,0.052380952381,3,0.50178784267,0.00174242424242,0.166666666667,1,0,0,1.0,0,0,0,0,2,cyt 
380,32.852,18,4.65,18,2.687,-0.882,0.178158176471,0.267060909091,195.838,37.8305576011,0.0263157894737,0,0.0131578947368,0.0108401084011,0.0526315789474,0.0928381962865,1,0.542553191489,0.00425157601525,0.0714285714286,0,0,0,0,0,0,0,0,0,cyt 
457,22.364,72,0,14,3.879,-2.267,0.177553705882,0.271915034091,181.341,35.1504471589,0.00925925925926,0,0,0.0291479820628,0.0526315789474,0.0286343612335,1,0.653421633554,0.00229357798165,0.184523809524,1,0,0,1.0,0,0,0,0,0,cyt 
218,42.42,9,5.553,14,3.893,-3.744,0.138809823529,0.205763613636,171.597,37.7244736215,0.0526315789474,0,0,0.0147058823529,0.0350877192982,0.116279069767,3,0.565420560748,0.00177357375111,0.14880952381,1,0,0,1.0,0,1.0,0,0,2,cyt 
