@RELATION /share/usr/briese/Pythonscrips/models/bacello_animals_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE Mip_signal13 numeric 
@ATTRIBUTE AutoCorrelatuion|d=3|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=5|1-30|charge numeric 
@ATTRIBUTE AutoCorrelatuion|d=1|1--1|charge numeric 
@ATTRIBUTE Paacount|d=3|1-30|leucine|L numeric 
@ATTRIBUTE letterCount|1-30|C|aminoacid numeric 
@ATTRIBUTE maxPaacountNormed|-30--1|cysteine|C numeric 
@ATTRIBUTE maxPaacountNormed|1-90|hydrophob_very|2 numeric 
@ATTRIBUTE letterCountNormed|1-20|1|charged numeric 
@ATTRIBUTE maxPaacount|-100--1|structure_none|0 numeric 
@ATTRIBUTE maxPaacount|1--1|structure_sheet|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005634 numeric 
@ATTRIBUTE 0016740 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,mTP,nuc,SR} 
 
@DATA 
379,28.836,-1.671,0.2816428125,34.1275902917,36.38353025,0.0,1,0,0.0795454545455,0.05,0.075,0.108401084011,1,0,1.0,1.0,0,0,2,cyt 
937,36.42,-2.446,0.30567025,24.797165,32.931809455,0.0,0,0,0.0454545454545,0.0179640718563,0.148936170213,0.045652173913,0,0,0,0,0,0,0,cyt 
102,29.436,-1.394,0.2542533125,34.2143984167,33.8655328889,0.0,0,0,0.125,0.125,0.163265306122,0.0681818181818,0,0,0,0,0,0,2,cyt 
326,37.884,-1.889,0.1982313125,35.0625514167,37.2139351641,0.0,0,0,0.0344827586207,0.047619047619,0.0967741935484,0.0781758957655,1,0,0,1.0,1.0,0,2,cyt 
1901,43.104,-0.914,0.120936375,40.493575,34.7448936807,0.0,0,0,0.0681818181818,0.0,0.151162790698,0.0572337042925,0,0,0,0,0,0,2,cyt 
1781,74.53,-3.692,0.1256206875,30.2832045,32.2651728943,0.0,0,0,0.0113636363636,0.00724637681159,0.340659340659,0.0435028248588,0,0,0,0,0,0,0,cyt 
326,108.038,-1.762,0.232537875,24.9201881667,36.4342272167,0.0,1,0,0.0681818181818,0.0961538461538,0.130952380952,0.0543130990415,0,0,0,1.0,0,0,2,cyt 
3911,87.232,-2.772,0.165423625,35.3421821667,34.3916642039,0.0384615384615,0,0,0.0340909090909,0.00911458333333,0.159574468085,0.0399794976935,0,0,0,0,0,0,0,cyt 
495,43.308,-1.592,0.13527825,42.5193053333,37.2699160305,0.0,0,0,0.0795454545455,0.0181818181818,0.123595505618,0.0514403292181,0,0,1.0,1.0,1.0,0,2,cyt 
125,49.044,-2.845,0.033553125,37.3254178333,36.816611877,0.0,1,0.00480769230769,0.0454545454545,0.208333333333,0.158536585366,0.0803571428571,1,0,1.0,0,0,0,2,cyt 
487,38.288,-3.069,0.202703625,29.3303109167,36.2422515351,0.0,0,0,0.0795454545455,0.0793650793651,0.0689655172414,0.0579710144928,0,0,0,0,0,0,0,cyt 
1133,61.526,-2.334,0.243235,38.5955089167,36.5613090442,0.0,0,0,0.0568181818182,0.0268456375839,0.178947368421,0.04114490161,1,0,0,1.0,1.0,1.0,2,cyt 
531,36.9,-2.155,0.1545259375,27.1346993333,34.9757048466,0.0384615384615,1,0,0.0568181818182,0.0493827160494,0.0721649484536,0.0809248554913,0,0,0,1.0,1.0,0,2,cyt 
1352,78.76,-1.887,0.1990610625,33.9985685833,35.2556875248,0.0,0,0,0.0454545454545,0.00537634408602,0.093023255814,0.0637982195846,0,0,1.0,1.0,1.0,0,0,cyt 
1248,42.62,-1.859,0.086878375,37.7845285833,35.8029102867,0.0,1,0,0.125,0.0242424242424,0.109756097561,0.0711398544867,1,0,0,0,0,0,0,cyt 
314,47.8,-1.917,0.3004218125,36.22789025,33.6217776592,0.0,0,0,0.0795454545455,0.0322580645161,0.115789473684,0.135922330097,0,0,0,0,0,0,2,cyt 
182,35.196,-2.341,0.174117875,32.9909945,36.4006633687,0.0,0,0,0.136363636364,0.148148148148,0.0813953488372,0.0853658536585,0,0,0,1.0,1.0,0,2,cyt 
484,79.328,-2.581,0.279967125,31.4829560833,37.9772132994,0.0,0,0,0.0909090909091,0.0810810810811,0.141176470588,0.0510638297872,1,0,0,0,0,0,2,cyt 
308,49.152,-1.585,0.2449704375,45.2040015,36.6610207475,0.0,0,0,0.0681818181818,0.025,0.202247191011,0.0659722222222,1,0,0,1.0,0,0,0,cyt 
331,33.044,-1.388,0.275205,40.6330615,36.7818070701,0.0,0,0,0.0568181818182,0.0277777777778,0.120481927711,0.0634920634921,0,0,0,0,0,0,2,cyt 
1274,52.044,-1.912,0.150842375,29.73783525,36.0976764603,0.0,0,0,0.0116279069767,0.0167597765363,0.0909090909091,0.07336523126,0,0,0,0,0,0,0,cyt 
111,36.22,-2.765,0.1247760625,29.72605125,38.5202725278,0.0,0,0,0.0113636363636,0.388888888889,0.168421052632,0.0388349514563,0,0,0,0,0,0,2,cyt 
290,43.244,-1.847,0.169202125,38.2398720833,36.684883338,0.0384615384615,0,0,0.0795454545455,0.105263157895,0.117647058824,0.10332103321,0,0,0,0,1.0,0,2,cyt 
369,36.048,-2.58,0.1771501875,33.7475921667,36.0860774563,0.0,0,0.0357142857143,0.0795454545455,0.0612244897959,0.1,0.0875706214689,0,0,0,0,0,0,0,cyt 
418,34.948,-1.941,0.3235420625,35.2298083333,35.6143248964,0.0384615384615,0,0,0.136363636364,0.0363636363636,0.114583333333,0.0434782608696,1,0,0,0,0,0,0,cyt 
288,23.98,-2.46,0.2898193125,38.4565456667,35.8946006737,0.0,0,0,0.102272727273,0.027027027027,0.0823529411765,0.0674157303371,1,0,0,1.0,0,0,2,cyt 
400,40.364,-1.851,0.195709375,38.8664738333,35.9543183375,0.0,0,0,0.0454545454545,0.0333333333333,0.15,0.0704960835509,0,0,0,1.0,1.0,0,0,cyt 
475,37.256,-1.905,0.2644814375,27.9286521667,35.9216815975,0.0384615384615,0,0,0.0340909090909,0.0289855072464,0.123595505618,0.0549450549451,0,0,0,0,0,0,2,cyt 
862,31.484,-3.029,0.230117875,30.3358530833,38.2726860221,0.0,0,0,0.0287356321839,0.031746031746,0.117647058824,0.0467289719626,1,0,0,1.0,0,0,0,cyt 
380,32.852,-0.882,0.2698318125,43.36043075,38.3389484324,0.0,2,0,0.125,0.0232558139535,0.173913043478,0.1,0,0,0,0,0,0,0,cyt 
457,22.364,-2.267,0.212347375,36.7343615,35.3353669295,0.0,0,0,0.0172413793103,0.0212765957447,0.204081632653,0.0581655480984,1,0,0,0,0,0,0,cyt 
407,45.064,-1.706,0.2167840625,39.5208254167,37.4196142104,0.0384615384615,0,0,0.0795454545455,0.0192307692308,0.145833333333,0.0610687022901,1,0,0,0,1.0,0,2,cyt 
296,41.268,-1.734,0.293100125,45.4654655,36.4169183379,0.0,0,0.0357142857143,0.0909090909091,0.046511627907,0.0875,0.0462633451957,0,0,0,0,0,0,2,cyt 
497,35.076,-1.901,0.2431545625,30.25575575,36.07474033,0.0,1,0.025641025641,0.0454545454545,0.046875,0.161290322581,0.0824742268041,1,0,0,1.0,0,0,0,cyt 
142,40.452,-2.386,0.300817625,39.2664279167,36.5278965683,0.0,0,0,0.0909090909091,0.037037037037,0.1625,0.0555555555556,1,0,0,1.0,0,0,2,cyt 
455,52.232,-2.027,0.252367375,33.9821110833,35.9722915796,0.0,0,0,0.147727272727,0.015873015873,0.142857142857,0.0727272727273,0,0,1.0,0,0,0,2,cyt 
119,27.204,-1.76,0.3181931875,37.8575633333,39.4376362931,0.0,3,0,0.113636363636,0.0909090909091,0.134831460674,0.0873786407767,0,0,0,0,0,0,0,cyt 
387,47.458,-2.173,0.318369,26.9684743333,36.7588609245,0.0,1,0,0.102272727273,0.037037037037,0.102272727273,0.0797872340426,0,0,1.0,0,0,0,2,cyt 
283,35.316,-2.855,0.3032590625,34.1946994167,35.8536532536,0.0,0,0,0.0795454545455,0.047619047619,0.232558139535,0.105454545455,0,0,0,1.0,0,0,7,cyt 
592,34.912,-1.395,0.28149825,33.60080625,35.493941691,0.0,0,0,0.0795454545455,0.021978021978,0.170454545455,0.0732984293194,0,0,1.0,1.0,1.0,0,8,cyt 
1037,22.856,-1.995,0.2112405625,31.0580318333,35.7814885542,0.0,0,0,0.0227272727273,0.0246913580247,0.0898876404494,0.0551257253385,1,0,0,0,0,0,2,cyt 
455,28.176,-0.958,0.4066581875,33.27821725,36.2402460973,0.0,4,0,0.238636363636,0.0238095238095,0.0561797752809,0.0935412026726,0,0,0,0,1.0,0,10,cyt 
3941,99.668,-3.292,0.229336375,33.6819764167,37.6195030023,0.0,0,0,0.00574712643678,0.00715990453461,0.217391304348,0.0318309141839,0,0,0,0,0,0,2,cyt 
525,27.156,-2.593,0.2731983125,36.795069,36.1193044387,0.0,1,0.01,0.00574712643678,0.0,0.103092783505,0.0807086614173,1,0,0,0,0,0,0,cyt 
393,47.62,-3.498,0.186795625,30.3598518333,36.5192025769,0.0,1,0,0.0454545454545,0.0909090909091,0.130434782609,0.0691489361702,0,0,0,0,0,0,0,cyt 
303,29.876,-1.239,0.17353575,35.6150892917,38.36974391,0.0,0,0,0.0795454545455,0.0571428571429,0.158536585366,0.0743243243243,0,0,0,1.0,0,0,2,cyt 
968,30.668,-2.399,0.2952605,38.16552625,37.0674383762,0.0384615384615,0,0,0.0568181818182,0.018018018018,0.0760869565217,0.0726315789474,0,0,1.0,0,0,0,0,cyt 
500,41.38,-1.403,0.206238375,32.7302632917,33.8836518068,0.0,2,0,0.0227272727273,0.027027027027,0.148936170213,0.0570264765784,0,0,0,1.0,0,0,2,cyt 
681,31.296,-1.289,0.1601055625,32.5738516667,36.1943632729,0.0,1,0,0.125,0.038961038961,0.0631578947368,0.0769230769231,1,0,0,0,0,0,2,cyt 
1147,63.716,-2.521,0.1398915625,30.4365301667,36.8599315498,0.0,1,0,0.113636363636,0.0459183673469,0.120481927711,0.0498251748252,1,0,0,0,0,0,0,cyt 
1024,46.196,-1.287,0.203357375,38.2283850833,36.3083791068,0.0,0,0,0.193181818182,0.00813008130081,0.112359550562,0.0627490039841,1,0,0,0,0,0,0,cyt 
1004,57.72,-1.293,0.1028899375,29.291261,36.4447735554,0.0384615384615,1,0,0.136363636364,0.0331125827815,0.159090909091,0.0435222672065,1,0,0,0,0,0,2,cyt 
536,97.3,-2.072,0.23219525,29.8062656667,37.5576698499,0.0,1,0,0.125,0.0594059405941,0.177777777778,0.0360531309298,1,0,0,0,0,0,2,cyt 
410,54.402,-2.108,0.203692875,39.1017095,36.0766643784,0.0384615384615,0,0,0.136363636364,0.0175438596491,0.122222222222,0.0632911392405,1,0,0,0,0,1.0,2,cyt 
303,72.368,-3.718,0.0625645,24.60102325,35.73593633,0.0,1,0,0.0681818181818,0.170212765957,0.147368421053,0.0721649484536,1,0,0,0,0,0,2,cyt 
516,42.464,-1.465,0.3986198125,40.5927926667,37.2858037076,0.0,1,0,0.159090909091,0.0,0.102272727273,0.0675944333996,1,0,0,0,0,0,0,cyt 
479,45.332,-2.593,0.1949553125,27.8375390833,35.1729834832,0.0769230769231,0,0,0.113636363636,0.0740740740741,0.125,0.0609243697479,1,0,0,0,0,0,2,cyt 
161,43.012,-1.916,0.1915039375,32.4592444167,33.6831250253,0.0,1,0,0.0909090909091,0.1,0.170731707317,0.0758620689655,0,0,0,1.0,0,0,2,cyt 
189,39.144,-1.49,0.2175765,38.56560675,35.8366915376,0.0,1,0,0.0681818181818,0.0833333333333,0.190476190476,0.0537634408602,0,0,0,0,0,0,0,cyt 
913,46.148,-3.01,0.188843125,36.0293535833,36.6300505044,0.0384615384615,0,0,0.102272727273,0.0,0.177083333333,0.0443951165372,0,0,0,1.0,0,0,0,cyt 
560,37.312,-3.345,0.1631146875,28.5606231667,36.0524495512,0.0,2,0,0.0568181818182,0.056338028169,0.102272727273,0.0662983425414,0,0,1.0,0,1.0,0,0,cyt 
278,66.16,-2.645,0.2225709375,34.3310135,36.3924089818,0.0,0,0,0.0795454545455,0.078431372549,0.170454545455,0.0524344569288,0,0,0,0,0,0,0,cyt 
274,38.796,-2.405,0.256506875,29.7516130833,35.6783494649,0.0384615384615,3,0,0.0795454545455,0.0571428571429,0.113402061856,0.0594795539033,1,0,1.0,1.0,0,1.0,0,cyt 
341,61.684,-3.059,0.1260241875,30.5143991667,34.7806406361,0.0,0,0,0.0454545454545,0.10447761194,0.210526315789,0.0415430267062,1,0,0,0,0,0,0,cyt 
379,76.176,-2.724,0.14446475,24.169731,35.8693227872,0.0,0,0,0.031007751938,0.0952380952381,0.195402298851,0.0539083557951,0,0,0,1.0,0,0,2,cyt 
1539,42.156,-1.448,0.3202596875,32.432947,36.7620408737,0.0384615384615,0,0,0.0568181818182,0.00341296928328,0.222222222222,0.0333333333333,0,0,0,0,0,0,0,cyt 
405,41.236,-3.415,0.24794175,34.1309433333,36.1068348856,0.0,0,0,0.0454545454545,0.046511627907,0.1375,0.085,0,0,0,1.0,1.0,0,0,cyt 
457,35.236,-2.048,0.299332875,31.7027410833,36.7357337093,0.0384615384615,2,0,0.0402298850575,0.0338983050847,0.127659574468,0.0398230088496,0,0,0,0,1.0,0,2,cyt 
222,53.408,-2.09,0.1135005,41.9828975,37.8464865799,0.0,0,0,0.102272727273,0.075,0.231578947368,0.0343137254902,0,0,0,0,0,0,2,cyt 
219,56.708,-1.957,0.2885121875,37.2820945,34.6849309954,0.0,1,0,0.0568181818182,0.0222222222222,0.277108433735,0.0531400966184,0,0,0,0,0,0,0,cyt 
194,47.208,-1.597,0.131122875,33.940639,34.9395680314,0.0,0,0,0.0454545454545,0.157894736842,0.177083333333,0.054347826087,0,0,0,1.0,0,0,2,cyt 
238,33.344,-1.549,0.3305326875,42.3914353333,38.0816210638,0.0384615384615,0,0,0.136363636364,0.04,0.0786516853933,0.0603448275862,1,0,0,1.0,0,0,2,cyt 
132,61.596,-0.291,0.1031445625,55.0789036667,40.4122249922,0.0,1,0,0.0681818181818,0.0,0.211764705882,0.0535714285714,0,0,0,0,0,0,0,cyt 
83,26.672,-1.54,0.19102875,32.000358875,35.0426237375,0.0,1,0,0.0740740740741,0.214285714286,0.09375,0.0547945205479,0,0,0,0,0,0,2,cyt 
653,50.222,-2.498,0.171517,30.3092883333,35.3796536338,0.0,0,0,0.102272727273,0.0606060606061,0.15306122449,0.0732087227414,0,0,0,0,0,0,0,cyt 
215,30.468,-2.235,0.1698183125,28.9888224583,37.0209309717,0.0,0,0,0.0227272727273,0.171428571429,0.141304347826,0.0452261306533,0,0,0,0,0,0,2,cyt 
200,35.052,-1.407,0.099636,43.811106,36.9722437817,0.0,1,0,0.0568181818182,0.08,0.0879120879121,0.0604395604396,0,0,0,0,0,0,2,cyt 
2346,43.788,-2.43,0.2449906875,33.9988010833,36.5093870559,0.0,0,0,0.0568181818182,0.0103092783505,0.166666666667,0.0640034364261,1,0,0,0,0,0,0,cyt 
483,56.022,-1.982,0.1652230625,40.0226176667,38.1282665271,0.0,1,0,0.0340909090909,0.051724137931,0.102272727273,0.0806794055202,0,0,0,0,0,0,0,cyt 
309,50.042,-2.42,0.3332439375,32.1885309167,35.506746902,0.0384615384615,0,0.0128205128205,0.136363636364,0.0652173913043,0.183673469388,0.0338983050847,0,0,0,0,0,0,0,cyt 
864,14.984,-2.201,0.4118635625,34.8300191667,32.8699289071,0.0,0,0,0.0227272727273,0.01,0.210526315789,0.130023640662,0,0,0,0,0,0,0,cyt 
783,30.944,-1.579,0.2662925625,30.8492237917,35.2658174885,0.0384615384615,1,0.0185185185185,0.102272727273,0.0149253731343,0.148148148148,0.0655526992288,0,0,0,1.0,0,0,0,cyt 
316,39.304,-2.786,0.150794,33.0986955833,35.587465099,0.0384615384615,0,0,0.0340909090909,0.0961538461538,0.132530120482,0.0677419354839,1,0,0,0,0,0,2,cyt 
314,25.284,-1.359,0.2524953125,33.6945722083,35.0162531479,0.0,0,0,0.0909090909091,0.0731707317073,0.141176470588,0.0906148867314,0,0,0,0,0,0,2,cyt 
798,36.516,-2.899,0.1898298125,35.2774690833,36.0671467698,0.0,0,0,0.0795454545455,0.00862068965517,0.104651162791,0.0676020408163,1,0,0,0,0,0,0,cyt 
1430,67.776,-3.313,0.2001425625,39.90460875,38.6556901458,0.0,0,0,0.0681818181818,0.0277777777778,0.25,0.0317796610169,1,0,0,0,1.0,0,2,cyt 
909,51.294,-2.171,0.25349275,30.3526016667,36.6850267605,0.0,2,0,0.147727272727,0.0551181102362,0.157303370787,0.06718924972,1,0,0,0,1.0,0,2,cyt 
845,42.312,-1.389,0.2445756875,34.1022846667,36.8103504489,0.0,0,0,0.0568181818182,0.0240963855422,0.170212765957,0.0714285714286,1,0,1.0,1.0,0,0,0,cyt 
2055,55.146,-2.076,0.2144550625,38.3710989583,36.7870721131,0.0,0,0,0.0909090909091,0.00613496932515,0.19587628866,0.0382165605096,1,0,0,1.0,1.0,1.0,2,cyt 
1132,42.208,-2.709,0.1710090625,27.7904206667,37.1979403924,0.0,0,0,0.0287356321839,0.0431034482759,0.229166666667,0.0269541778976,0,0,0,0,0,0,0,cyt 
190,40.54,-2.138,0.0631853125,34.00859725,36.9933161123,0.0,0,0,0.0568181818182,0.269230769231,0.0851063829787,0.0923913043478,0,0,0,0,0,0,2,cyt 
278,34.252,-2.625,0.2555315625,41.3335275,36.3660136945,0.0,2,0,0.0454545454545,0.117647058824,0.144444444444,0.0512820512821,0,0,0,0,0,0,0,cyt 
2224,69.356,-0.96,0.2665241875,35.5424252083,36.0512318816,0.0,0,0,0.0568181818182,0.0,0.229885057471,0.0306582506763,1,0,0,1.0,0,0,2,cyt 
1432,112.618,-2.795,0.160487875,27.4224965,36.6980722274,0.0,1,0,0.0681818181818,0.0346820809249,0.126436781609,0.0621030345801,0,1,0,1.0,1.0,0,2,cyt 
229,24.752,-2.898,0.4138126875,35.3634101667,36.2425267965,0.0,2,0.0047619047619,0.113636363636,0.0625,0.186813186813,0.101851851852,0,0,0,1.0,0,0,7,cyt 
360,47.04,-2.99,0.3008145,31.1732455,36.5908447871,0.0,0,0,0.102272727273,0.0909090909091,0.302325581395,0.0626780626781,0,0,0,1.0,0,0,0,cyt 
87,35.23,-2.495,0.2839946875,33.7579063333,37.4077501905,0.0384615384615,1,0,0.0535714285714,0.166666666667,0.108108108108,0.0909090909091,0,0,1.0,1.0,0,0,2,cyt 
386,38.632,-2.325,0.2217230625,37.1799554167,36.4928864021,0.0384615384615,0,0,0.0909090909091,0.0,0.117021276596,0.0783289817232,1,0,0,1.0,0,0,2,cyt 
344,34.696,-1.68,0.370418875,37.76197675,36.2335329384,0.0,1,0,0.102272727273,0.027027027027,0.156626506024,0.0530973451327,0,0,1.0,0,0,0,0,cyt 
276,30.492,-1.836,0.336405625,38.0060206667,37.6637056227,0.0384615384615,1,0,0.102272727273,0.0,0.119047619048,0.0706319702602,0,0,0,0,0,0,0,cyt 
96,40.016,-2.198,0.1761144375,37.8224425833,37.7480884946,0.0,0,0,0.113636363636,0.230769230769,0.0752688172043,0.142857142857,0,0,0,0,0,0,2,cyt 
1240,47.848,-1.872,0.1049455,33.3668783333,36.4886524155,0.115384615385,0,0,0.0568181818182,0.0373134328358,0.178947368421,0.0441898527005,0,0,0,0,0,0,0,cyt 
475,34.736,-2.173,0.1438903125,41.28370075,37.3296957352,0.0,0,0,0.0568181818182,0.04,0.0722891566265,0.0581896551724,0,0,0,0,0,0,2,cyt 
444,40.688,-3.282,0.2067245,42.0425355,37.3883829229,0.0,1,0,0.0795454545455,0.0566037735849,0.170454545455,0.0479452054795,0,0,0,0,0,0,0,cyt 
898,49.888,-1.703,0.186189375,36.8019353333,35.9757340603,0.0,1,0,0.0681818181818,0.00793650793651,0.132530120482,0.0744920993228,0,0,0,0,0,0,0,cyt 
1025,45.04,-1.762,0.2434320625,33.3295074167,36.2941094501,0.0,1,0,0.0568181818182,0.0272727272727,0.0967741935484,0.0816929133858,0,0,0,0,0,0,0,cyt 
706,40.388,-1.679,0.266660125,32.85928875,33.8905118791,0.0384615384615,0,0,0.0795454545455,0.021897810219,0.341463414634,0.0440967283073,1,0,0,0,0,0,0,cyt 
367,27.552,-1.559,0.219378,36.81958875,38.0070061401,0.0,0,0,0.0454545454545,0.0666666666667,0.0963855421687,0.0966850828729,1,0,1.0,1.0,0,0,0,cyt 
352,53.218,-2.022,0.1554455,35.2005218333,33.6508034126,0.0384615384615,0,0,0.0681818181818,0.0434782608696,0.319587628866,0.031884057971,0,0,0,0,0,0,0,cyt 
738,54.046,-2.353,0.2646201875,33.4495442083,38.0170558,0.0,1,0,0.0795454545455,0.0,0.0875,0.0540166204986,1,0,0,1.0,0,0,0,cyt 
1289,83.764,-1.742,0.27724425,36.457909,36.353545077,0.0384615384615,5,0,0.0795454545455,0.00591715976331,0.125,0.0691280439906,1,1,0,0,1.0,0,0,cyt 
736,65.794,-2.442,0.2496725,29.785512,36.7257943056,0.0,0,0,0.102272727273,0.0116279069767,0.204081632653,0.0458970792768,1,0,1.0,1.0,0,0,2,cyt 
4646,78.706,-3.24,0.1620868125,28.164996125,36.6586000907,0.0,0,0,0.0795454545455,0.00625,0.0777777777778,0.0595212421824,0,0,0,0,0,0,0,cyt 
89,38.708,-2.724,0.1235874375,28.8902120417,36.319259407,0.0,1,0,0.0804597701149,0.384615384615,0.112676056338,0.169014084507,1,0,0,1.0,0,0,2,cyt 
1281,36.612,-1.428,0.0946616875,43.4356116667,36.6672855595,0.0,0,0,0.0795454545455,0.0,0.144444444444,0.0408805031447,1,0,0,0,0,0,2,cyt 
528,48.452,-4.128,0.186235625,32.8954604167,39.3354875067,0.0,0,0,0.0340909090909,0.0196078431373,0.129411764706,0.0588235294118,0,0,0,1.0,1.0,0,0,cyt 
1208,59.702,-2.456,0.12347475,31.0833814167,36.5992260373,0.0,0,0.0128205128205,0.0909090909091,0.0306748466258,0.221052631579,0.0520570948783,0,0,0,0,0,0,0,cyt 
452,35.352,-0.962,0.0699445625,39.6135389583,36.2761703987,0.0,1,0,0.102272727273,0.04,0.0978260869565,0.0812641083521,0,0,0,0,1.0,0,2,cyt 
981,46.984,-1.952,0.2125325625,29.5184181667,36.0483742076,0.0384615384615,0,0,0.0454545454545,0.030534351145,0.397590361446,0.0755693581781,0,0,0,0,0,0,0,cyt 
1818,33.22,-1.684,0.255464,33.9371789167,36.5763512832,0.0,0,0,0.0340909090909,0.0,0.108695652174,0.0446527012128,0,0,0,1.0,0,0,0,cyt 
500,25.28,-0.281,0.2672056875,45.0521991667,37.0395158913,0.0,0,0,0.051724137931,0.0,0.0697674418605,0.0696721311475,1,0,1.0,1.0,0,1.0,2,cyt 
759,71.064,-1.222,0.1651021875,41.4313759167,37.2446006574,0.0,0,0,0.0454545454545,0.00813008130081,0.278350515464,0.033422459893,1,0,0,1.0,0,0,0,cyt 
437,42.992,-1.657,0.23187075,38.52804825,36.1313050737,0.0,0,0,0.0795454545455,0.0615384615385,0.154639175258,0.0626450116009,0,0,0,1.0,0,0,2,cyt 
582,52.408,-2.606,0.17148725,30.4973208333,35.4899430846,0.0769230769231,0,0,0.0454545454545,0.0642201834862,0.259259259259,0.0548672566372,0,0,0,0,0,0,8,cyt 
2511,43.828,-2.682,0.235907,28.3418264167,36.5175891164,0.0,0,0,0.0909090909091,0.015037593985,0.115789473684,0.0502008032129,0,0,0,0,1.0,0,0,cyt 
614,41.1,-2.892,0.1734465625,39.8413141667,36.6690223159,0.0,0,0,0.0454545454545,0.0142857142857,0.123595505618,0.0689075630252,1,0,0,0,0,0,0,cyt 
373,35.056,-1.402,0.293300125,39.90213975,36.7614880649,0.0,0,0.0128205128205,0.0454545454545,0.0212765957447,0.131868131868,0.0648648648649,1,0,0,0,0,0,2,cyt 
605,38.696,-2.086,0.2881523125,37.07756425,37.1788650997,0.0,2,0,0.102272727273,0.041095890411,0.125,0.102866779089,0,0,0,1.0,0,0,2,cyt 
766,75.988,-2.334,0.1809743125,36.6687470417,35.8389133893,0.0,1,0,0.0340909090909,0.0173913043478,0.192771084337,0.0558510638298,1,0,0,0,0,0,0,cyt 
149,33.656,-1.735,0.3048599375,39.6304100833,37.3211208836,0.0,0,0,0.125,0.0434782608696,0.173913043478,0.0769230769231,1,0,1.0,1.0,0,0,2,cyt 
